HanXRQChr01	6062449	6328121
HanXRQChr01	129698828	129724853
HanXRQChr02	23608088	23618374
HanXRQChr02	87535326	87638325
HanXRQChr03	56052365	56113872
HanXRQChr03	107303265	107366414
HanXRQChr03	164770008	164777017
HanXRQChr04	31268262	31268262
HanXRQChr04	52923495	52959421
HanXRQChr04	58814485	58815564
HanXRQChr05	175681036	176121282
HanXRQChr05	178961072	178973142
HanXRQChr05	203108567	203141182
HanXRQChr06	54786341	55026791
HanXRQChr07	51051075	51069496
HanXRQChr07	83067740	83079090
HanXRQChr08	35193191	35203141
HanXRQChr08	45092028	45432291
HanXRQChr09	184203700	184256245
HanXRQChr10	182304404	182390609
HanXRQChr10	186148924	186174696
HanXRQChr10	190853628	190999103
HanXRQChr10	234784943	235008947
HanXRQChr11	12520457	12623446
HanXRQChr11	83121019	83121019
HanXRQChr12	9069037	9536818
HanXRQChr12	20937014	21008100
HanXRQChr12	36970830	36978974
HanXRQChr12	109399516	109437570
HanXRQChr13	10459104	10486420
HanXRQChr13	102630344	103040361
HanXRQChr14	94416747	94792378
HanXRQChr14	95508395	95508578
HanXRQChr14	135943552	135944384
HanXRQChr15	82817780	83016219
HanXRQChr15	84184703	85145064
HanXRQChr15	85917779	87498732
HanXRQChr15	88381460	89863343
HanXRQChr15	91427767	91515312
HanXRQChr15	92052767	92126893
HanXRQChr15	92785029	95239352
HanXRQChr15	95770464	96476661
HanXRQChr15	97182584	101428843
HanXRQChr15	101967302	103862792
HanXRQChr15	104433938	104468356
HanXRQChr15	105415818	106707090
HanXRQChr15	107906866	109235859
HanXRQChr15	109773476	110100779
HanXRQChr15	111311359	114297534
HanXRQChr15	115085864	116574697
HanXRQChr15	118636686	119087832
HanXRQChr15	121005627	121829841
HanXRQChr15	122519925	123692416
HanXRQChr15	125915195	128757655
HanXRQChr15	129898813	132119004
HanXRQChr15	132883959	133396994
HanXRQChr15	134141976	138191513
HanXRQChr15	140039076	140349599
HanXRQChr15	140999847	141776151
HanXRQChr15	143797899	143866076
HanXRQChr15	145182062	145241544
HanXRQChr15	146893031	147140814
HanXRQChr15	148003371	152526532
HanXRQChr15	153096361	155801582
HanXRQChr15	156513220	156513259
HanXRQChr15	157661405	158166247
HanXRQChr15	158762248	160194321
HanXRQChr15	161153035	161487067
HanXRQChr15	162691341	163644891
HanXRQChr15	165384111	166249451
HanXRQChr16	38101608	38272572
HanXRQChr16	151749247	151988465
HanXRQChr17	33527230	33680546
HanXRQChr17	113672682	113718171
HanXRQChr17	176455080	176465265
