locus	t	df	p.value	mean	min	max
All	0.7744058707014118	73	0.4411918119202862	0.28499906143095	-0.4484694359071786	1.0184675587690784
Ha412HOChr03.pos1	0.08882759681518981	16	0.9303212851755184	0.06528834083013653	-1.4928434185050665	1.6234201001653397
Ha412HOChr14.pos1	-3.8536184294763824	6	0.008424485695507144	-0.8801415302963296	-1.4390003744138014	-0.32128268617885797
Ha412HOChr03.pos2	1.0555102998214223	9	0.3187012534039787	1.3162413609782029	-1.5047115214445064	4.137194243400912
Ha412HOChr06.pos1	0.704301229937635	8	0.5012293658856255	0.9577749582909543	-2.1781460376293706	4.093695954211279
Ha412HOChr06.pos4	0.2959974618289344	7	0.7758203818671663	0.3197587328392285	-2.2346863277984723	2.8742037934769296
Ha412HOChr16.pos3	-0.41059142527875586	11	0.689256499271014	-0.28961302858361665	-1.8420905983452687	1.2628645411780355
Ha412HOChr10.neg1	0.4121498574144671	10	0.6889256314236142	0.479628882703749	-2.1133108669084955	3.0725686323159933
