locus	t	df	p.value	mean	min	max
All	0.8030150518765402	106	0.42376294959292493	0.31220784009042035	-0.45861508211820873	1.0830307622990496
Ha412HOChr05.neg1	0.957376217926261	5	0.38234552686069645	1.5356880133969921	-2.587677115719654	5.659053142513638
Ha412HOChr06.pos1	-0.5359784930841182	21	0.5976053500896986	-0.346782436220939	-1.6923094765387212	0.9987446040968433
Ha412HOChr07.pos1	-0.026580268284454155	19	0.9790717062304479	-0.022569464612829736	-1.7997686946671712	1.7546297654415115
Ha412HOChr09.neg1	0.7232429827721627	6	0.49674507553757286	1.0663413690835188	-2.541358111629704	4.674040849796742
Ha412HOChr11.pos1	0.7052985618134344	6	0.5070680891228576	1.9064297513877344	-4.707599830711363	8.520459333486832
Ha412HOChr14.pos1	0.5236920267929386	3	0.6367172614191685	1.4950280112044816	-7.590171165285073	10.580227187694037
Ha412HOChr17.pos2	-0.9962872451285849	13	0.3372943056441966	-0.5755244337951109	-1.8235028194252323	0.6724539518350108
Ha412HOChr17.pos3	-0.897429213795023	4	0.420222928317571	-1.393175245806825	-5.703347605302332	2.9169971136886814
Ha412HOChr10.neg1	-0.3398192916469282	3	0.7563931869755591	-0.7224476911976914	-7.488252464876205	6.043357082480822
Ha412HOChr16.pos1	1.5263157894736843	1	0.36924123408865944	10.875	-79.65670874524469	101.4067087452447
Ha412HOChr01.neg1	0.15380888670522258	15	0.8798106487326836	0.10288830482812646	-1.3229150753733077	1.5286916850295607
