FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0777	PET0777	5.568919046	38.71144139	6.951338503	21.33333333	3.276159383	4.305095753	1.54506862	11.78705407	3.667056824	2.804679362	242.2591	2997.6929	53.34	55.88	85.9367	86.2753	86.6515	1.550671081	1.5439	1.6111	1.6128	0.2778	0.4079	0.6809	0.0584	0.1356	0.3386	0	91.0723	66.1342	0	99.4157	103.7168	0.0011	0.0407	0.1953	0.0474	0.4166	0.5473	0.6365	0.7082	0.871	1.2319	0.3598	9.1155	25	17	43	NA	NA	NA	NA	NA	NA	NA	18.6	50.7	52	NA	NA	NA	NA
PET0778	PET0778	4.502412507	39.99111302	8.882152169	32	4.192882652	4.612010048	1.476887686	13.4103327	3.202322081	3.128852458	276.1879	3100.5888	41.9947	48.6833	99.3987	107.442	107.4329	2.20677111	2.207	2.3669	2.5628	0.246	0.496	0.4959	0.0853	0.2536	0.3136	0	48.3004	45.3907	0	65.9564	121.0513	0.0009	0.0337	0.3012	0.105	1.0724	0.6238	0.705	0.8638	0.8563	2.3651	0.3864	20.5685	35	26	60	NA	NA	NA	NA	NA	NA	NA	35.2	181.3	21.8	53.2	35.4	1.7	26
PET0779N	PET0779N	4.400852561	40.39092019	9.177976228	22.66666667	2.942920621	3.699145065	1.373482423	10.13939496	3.435735633	2.701767198	291.0477	4673.0014	55.0333	64.77	106.7647	107.1033	108.5201	1.675468581	1.6536	1.94	1.9689	0.3292	0.9	0.3658	0.0792	0.1819	0.3947	0	90.1158	66.2386	0	130.2108	146.7915	0.0015	0.04	0.4213	0.046	1.2274	0.7565	0.7975	0.8897	0.8889	1.9385	0.3685	12.5672	31	24	69	0.065686946	0.095885998	10.07320448	3.004341865	3.636714531	2.799775415	3.597861608	28	160	34	NA	NA	NA	NA
PET0780N	PET0780N	3.902693063	42.34377532	10.84988612	23.66666667	2.982038267	3.687037289	1.229644877	9.945260796	3.336265155	3.019465446	365.9664	6508.1805	70.7813	79.9253	125.984	129.032	131.0024	1.639060473	1.6144	1.7799	1.8416	0.3301	0.3888	0.8492	0.0815	0.1462	0.3573	0	68.6597	67.4094	0	26.2243	130.7711	0.0003	0.0713	0.2861	0.133	1.1662	0.689	0.7814	0.8867	0.8881	1.7814	0.3123	10.8688	NA	40	NA	0.099613571	0.107104446	8.397172371	2.797509611	2.989495073	2.418182226	3.472514304	29	191.3	25	33.8	25	2.8	37
PET0781	PET0781	5.079468328	40.431249	7.95974035	21.33333333	3.484291359	4.782846078	1.602207844	12.64808755	3.632047038	3.017028601	390.3581	8170.1987	82.9733	98.2133	119.634	125.0527	134.7536	1.372050425	1.2733	1.4418	1.5081	0.3112	1.0082	0.3087	0.1017	0.1243	0.3853	0.1523	77.244	60.0205	0.0023	164.2565	220.5024	0.0018	0.0581	0.47	0.1812	1.6625	0.7549	0.7642	0.891	0.8868	1.4388	0.3906	7.8603	35	21	58	0.265153841	0.230182773	10.55220485	3.023434738	3.600816561	3.350571731	3.149374405	27.7	157.8	33	36.1	34.2	7.8	16
PET0783	PET0783	6.138091251	41.82945697	6.814733646	21.66666667	3.419007961	5.7868324	1.96568142	14.3557821	4.2086371	3.007714116	285.2052	4205.3249	57.658	65.1933	92.3713	95.25	96.8155	1.485052912	1.461	1.6021	1.6339	0.3275	0.8032	0.4077	0.0653	0.1334	0.3936	0.0747	86.9309	81.8836	0.0016	30.8213	118.3656	0.0257	0.0044	0.3212	0.1608	0.887	0.6096	0.758	0.894	0.8712	1.5604	0.3772	8.9082	27	18	50	0.094793691	0.128367632	11.19421157	2.649982753	4.072134557	3.049942454	3.67030255	27.6	112.6	60	NA	NA	NA	NA
PET0784	PET0784	5.563922743	42.52894793	7.6436985	24.33333333	3.689187491	5.322778689	1.415495511	13.85939947	3.768725995	3.774263834	393.1327	7654.551	79.756	90.8473	125.8147	133.2653	138.0106	1.519149166	1.4669	1.5775	1.6891	0.189	0.7675	0.2462	0.0824	0.141	0.3462	0	59.3276	59.4503	0	0.2719	7.4324	0.0023	0.0151	0.3718	0.1895	1.6508	0.6962	0.5709	0.6603	0.852	1.0872	0.4544	9.3145	38	25	73	0.084905745	0.11562618	13.37327209	3.656006633	4.908751218	3.555769652	3.761006307	27.7	192.4	54.5	43	32.5	11	20
PET0785	PET0785	5.563657321	40.26215464	7.236634523	29.66666667	3.657492845	5.933455833	1.568124779	15.30601987	4.183396961	3.867993345	342.5729	5851.7374	66.1247	82.3807	106.172	118.2793	120.6346	1.464355122	1.4358	1.6056	1.6377	0.2497	0.7132	0.3501	0.0921	0.1409	0.3346	0	73.7312	63.1093	0	94.5834	135.4874	0.0016	0.047	0.3436	0.2644	1.3291	0.7036	0.6834	0.8253	0.8518	1.4722	0.4052	9.194	29	22	55	0.063844774	0.083782019	13.58406109	3.806268796	5.064662269	3.454736553	3.9320107	25.8	182.5	47.5	45.3	29.4	1.7	20
PET0786	PET0786	NA	NA	NA	29.66666667	3.227855055	5.10932244	1.212491274	12.99051248	4.034737513	4.203075258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	31	71	0.074964907	0.110177016	11.89806081	3.849873162	4.485751007	2.926558794	4.065546481	29.5	194.4	40	27.6	19	2.8	37
PET0787	PET0787	6.07433813	40.63289435	6.689271074	25	3.38156343	5.76252017	1.496297427	14.92485923	4.341935424	3.789868928	355.2764	5670.6697	57.2347	75.5227	102.7853	117.856	124.3122	1.646024308	1.5605	1.7959	1.855	0.2382	1.1509	0.2069	0.0994	0.1713	0.3702	0.1038	113.5435	53.7715	0.0015	160.9867	204.797	0.0022	0.0469	0.485	0.2963	1.7854	0.7072	0.6298	0.7821	0.8778	1.5	0.4921	12.3337	34	26	57	0.000367193	0	14.39582519	3.966057013	5.583584779	3.228655635	4.458767617	34.3	143.9	43.8	55.2	39.9	6.3	23
PET0788	PET0788	3.861190177	37.37281719	9.67909258	20.33333333	2.617557252	3.502066556	1.047467333	9.274624879	3.57569602	3.364200575	194.3665	1732.6847	33.1893	38.9467	69.9347	71.0353	72.4394	1.859962462	1.8239	2.1071	2.1882	0.3418	0.5204	0.6569	0.0792	0.2096	0.3404	0	67.4238	70.3981	0	87.1506	105.7691	0.0032	0.093	0.2814	0.0536	0.6151	0.6626	0.6444	0.7162	0.8752	1.5882	0.4034	15.0837	25	14	43	NA	NA	NA	NA	NA	NA	NA	5.8	36.6	19.5	16.7	14.8	4.7	17
PET0789	PET0789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PET0790	PET0790	6.030721759	39.72553842	6.587194702	22	3.105553301	3.647190074	1.124211245	11.17840521	3.377094457	3.315131597	240.2	3320.8536	51.9007	59.944	83.6507	84.9207	84.7835	1.41437842	1.4167	1.6117	1.6443	0.2969	0.7406	0.4009	0.0732	0.1284	0.3674	0	80.0454	71.9429	0	40.9754	145.1612	0.003	0.0309	0.3512	0.0633	0.8455	0.6969	0.7884	0.8947	0.8758	1.6189	0.3464	8.4612	12	12	28	NA	NA	NA	NA	NA	NA	NA	7.6	37.4	NA	NA	NA	NA	NA
PET0791	PET0791	6.582051128	38.71462089	5.881847487	23	3.040869578	3.53883107	1.308391235	10.64574203	3.315141479	2.708020889	218.184	2621.9087	45.212	55.372	71.4587	75.2687	83.5532	1.508943148	1.3593	1.5805	1.791	0.2434	0.8839	0.2754	0.0942	0.136	0.3427	0.1153	71.5642	82.454	0.0013	143.2159	111.6876	0	0	0.4031	0.1662	0.9325	0.7132	0.759	0.9059	0.8999	1.5822	0.3835	8.8054	12	9	37	0.185820536	0.217991354	9.196803316	2.821939938	2.936195524	3.324412268	2.766444885	8.8	58.4	37.9	30	13	0	11
PET0792	PET0792	7.017263487	39.6244872	5.64671503	21.33333333	2.697569667	3.858106169	0.947565544	10.26908861	3.701966494	4.07505349	281.6976	3701.2327	40.64	59.3513	93.6413	99.3987	102.3112	1.723824078	1.6748	2.3042	2.5018	0.3333	1.35	0.2469	0.115	0.2197	0.3632	0.1725	67.2944	51.3693	0.0023	4.2641	193.9731	0.0055	0.013	0.5833	0.204	1.7572	0.8168	0.7366	0.8807	0.878	2.2041	0.4848	15.5004	22	12	38	0.191616187	0.227237134	8.85072637	3.935359573	3.091432611	2.667861147	3.317536364	8.7	69	NA	29.6	20.2	0	13
PET0793	PET0793	5.935826654	40.46200963	6.816575348	24	3.099349214	3.956756093	1.154781767	10.77969692	3.153707142	3.510186959	302.7619	4514.6935	61.976	72.39	97.028	99.6527	101.9472	1.408305015	1.3766	1.5656	1.3844	0.2855	0.5219	0.5471	0.0834	0.1306	0.3596	0.0815	77.7627	89.4672	0.0016	119.1743	108.49	0.0042	0.3029	0.3038	0.1237	0.8881	0.6791	0.7823	0.8906	0.8863	1.5385	0.3139	7.9197	8	11	27	0.192967689	0.200235675	7.385600826	2.882379088	2.585774656	2.214051515	3.335785448	12.1	47	NA	25.4	10.8	1.8	NA
PET0794	PET0794	6.356797893	41.2466952	6.488596286	21	2.947521499	4.647898822	1.276170406	11.98276837	4.147314686	3.635561765	285.4121	3347.6851	45.466	56.5573	96.6893	99.9067	99.8279	1.765075419	1.7665	2.1266	2.1053	0.2067	0.8101	0.2552	0.1	0.2101	0.3201	0.0963	45.5495	52.8308	0.0011	292.2476	137.877	0.011	0.0489	0.3634	0.1095	1.2988	0.6814	0.5293	0.6253	0.8876	1.2893	0.4921	14.7285	8	9	29	0.209979779	0.256268734	10.87651068	3.896649013	3.873208145	3.130094387	3.474818754	13.1	48.1	NA	23.3	NA	8.7	NA
PET0795	PET0795	5.788101494	37.55258617	6.487893518	16.33333333	2.415051444	3.724578309	0.977976257	9.534480426	3.985990551	3.944253808	166.495	1466.0831	34.036	41.9947	50.3767	55.2027	56.1346	1.336706775	1.3145	1.4801	1.6204	0.3085	0.9328	0.3307	0.0966	0.1368	0.3501	0	94.7745	69.2114	0	26.3399	146.5601	0	0	0.3981	0.1153	0.7312	0.7399	0.6636	0.7956	0.8834	1.2934	0.4459	8.5122	12	10	31	0.241499944	0.226596845	9.753526402	2.792549735	3.343758168	3.066010066	3.181178859	6.7	45	NA	34.1	14.2	1.5	12
PET0796	PET0796	6.385404234	38.59700311	6.044566905	21	2.981502423	3.315727941	1.119497846	9.400593041	3.198420331	3.010697992	297.2115	4199.5973	55.4567	61.8913	105.0713	109.8973	108.8396	1.758560573	1.7756	1.8947	1.9275	0.2641	0.4947	0.534	0.0765	0.1911	0.3391	0	72.7081	55.0235	0	84.4102	106.7282	0.0009	0.0919	0.2654	0.0768	0.9096	0.6341	0.5968	0.6862	0.8716	1.3871	0.421	13.537	10	15	41	0.189789199	0.243503745	9.019075891	3.328204617	2.956337394	3.106401104	2.903384203	14.9	73.2	36.6	NA	NA	NA	NA
PET0797	PET0797	5.773438426	38.90591469	6.738777107	21	2.73501085	4.641614139	1.561687452	11.92812975	4.187313587	2.965258495	227.6793	2103.3578	33.6127	39.878	86.36	87.63	88.68	2.223782537	2.1975	2.5693	2.6154	0.3476	0.4055	0.8571	0.073	0.2528	0.344	0	60.8865	59.7806	0	69.6995	86.5582	0.0018	0.0933	0.2324	0.0742	0.581	0.6051	0.5106	0.5752	0.8571	1.4915	0.4997	20.3631	7	13	28	0.186348837	0.22731073	11.03175261	3.451481699	4.129425316	2.772901977	3.978414203	9.1	55.9	NA	31.4	22.3	2.6	14
PET0800	PET0800	5.921750472	39.65842952	6.697078795	17.33333333	2.966482855	4.001603327	1.24043307	11.04545411	3.729031123	3.230081519	298.744	4821.7251	63.5847	69.7653	106.0873	107.1033	108.285	1.55213265	1.5352	1.6684	1.7076	0.3462	0.5193	0.6667	0.0679	0.1442	0.3562	0	88.1435	77.5748	0	74.8273	127.872	0.0006	0.0596	0.2787	0.0699	0.7597	0.6136	0.7547	0.8533	0.8858	1.5387	0.3094	9.9203	46	21	67	0.256935323	0.270078024	10.02839963	3.25183719	3.641576324	2.745246984	3.653004517	33.8	135.6	56.5	37.4	31.3	9.7	17
