FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0750	PET0750	5.882179624	39.32435749	6.685337749	15.66666667	2.91491998	5.014442462	1.939634547	12.78048093	4.381137836	2.583508044	338.5054	6370.6826	79.248	93.218	98.1287	100.9227	105.1496	1.127996739	1.0827	1.2382	1.3004	0.2489	1.0267	0.2425	0.0978	0.1013	0.3988	0	83.4205	84.6421	0	3.7299	198.1635	0.0016	0.0073	0.497	0.1097	1.4514	0.7189	0.7322	0.8281	0.8889	1.1325	0.4066	5.7275	25	16	44	0.099216565	0.122629762	11.64102564	2.487855072	4.415954416	2.809116809	4.144016227	17.5	79.7	38.5	47.4	19.7	0	16
PET0751	PET0751	6.231229041	36.79606227	5.905105081	21	3.082378068	4.542747941	1.516516449	12.0418112	3.932002199	2.991480215	276.9995	4022.1927	55.7953	71.5433	84.328	87.63	89.3161	1.248420187	1.2249	1.5114	1.5628	0.2595	1.1002	0.2359	0.1098	0.1288	0.3418	0.1266	79.0178	65.16	0.0021	168.1922	1.5722	0.0374	0.0796	0.5335	0.152	1.4255	0.7092	0.7698	0.8825	0.8874	1.5133	0.4139	8.1092	26	14	43	0.113193622	0.116884554	10.62753378	3.502943274	3.777985394	3.071562995	3.459975849	1.36	57.8	51	32.1	22	0.5	16
PET0752	PET0752	4.875050205	39.55251568	8.113252996	15.66666667	2.585071794	4.042385628	1.38324717	10.2543147	3.964809163	2.920839318	303.0836	4032.0206	46.99	58.928	104.9867	108.458	109.3499	1.855652661	1.8405	2.2342	2.3313	0.3117	0.8252	0.3777	0.0857	0.2181	0.355	0	63.8884	55.0087	0	93.1918	127.3567	0.002	0.0762	0.3405	0.0734	1.2703	0.6802	0.4344	0.5191	0.7864	1.0296	0.5808	16.0486	NA	NA	NA	0	0	10.49626068	3.11027902	4.041319231	2.413622222	4.348758719	9.7	95.7	36	17.3	15	1	17
PET0753	PET0753	6.78828817	38.79664796	5.715232911	19	2.94598528	4.515557265	1.497810964	12.08458288	4.108654502	3.018646609	327.0088	4541.4103	52.6627	61.2987	118.364	122.0047	122.6036	2.000101144	1.9903	2.2476	2.3022	0.3264	0.5466	0.5971	0.0868	0.2345	0.2982	0	51.2035	49.4178	0	76.8199	117.3611	0.0012	0.078	0.2799	0.1319	1.1589	0.6579	0.5153	0.5783	0.849	1.3203	0.483	17.76	22	14	40	0.079465314	0.151434278	7.965909091	2.9391	2.5178	2.930309091	2.71845353	15.1	83.9	47	37	20.8	0	15
PET0754	PET0754	6.184587442	40.37753846	6.528735965	19.33333333	3.10471927	4.595915007	1.362829479	12.59599046	4.05918004	3.373742616	328.9496	5131.8249	74.5913	81.4493	100.9227	105.918	110.9649	1.362380033	1.3004	1.353	1.4996	0.1918	0.4041	0.4747	0.0874	0.1058	0.3189	0.1358	59.7097	63.1108	0.002	158.5843	137.2771	0.006	0.2358	0.2369	0.1692	0.8938	0.5913	0.5824	0.6679	0.89	0.9945	0.4154	6.4769	22	15	41	0.066494585	0.087824351	12.65912829	3.407453959	4.560032895	3.5390625	3.576972232	16.9	79.7	50	29	19.4	0	13
PET0755N	PET0755N	5.971535424	40.08286986	6.712322211	19.66666667	3.115751004	4.705579667	1.593511515	12.40111205	3.989360347	2.967999095	304.9753	4467.7258	64.77	73.9987	92.1173	97.1127	100.5358	1.358615759	1.3124	1.4222	1.5225	0.2588	0.6797	0.3808	0.0864	0.1174	0.3233	0	74.4739	62.8472	0	184.8425	164.2108	0.0248	0.014	0.3465	0.1993	1.0325	0.6809	0.7592	0.8932	0.8824	1.4262	0.3312	7.6971	29	17	49	0.160107693	0.179669698	9.480337655	2.616630296	3.576100395	2.328136864	4.07207059	19.4	73.2	50	43.8	23.8	1.9	17
PET0756N	PET0756N	6.426272827	39.27677757	6.11190633	18	2.96980455	4.519725729	1.877222527	11.91143025	4.011409777	2.409603025	292.1245	4113.5832	56.642	65.6167	103.124	104.7327	105.0513	1.600984201	1.5961	1.8206	1.8549	0.2616	0.5486	0.4768	0.0868	0.1697	0.3195	0	69.2916	56.8113	0	90.6647	123.9984	0.0007	0.0563	0.3032	0.1255	1.0637	0.6307	0.6165	0.6871	0.8759	1.3229	0.3993	11.3639	22	14	37	0.047759934	0.081602455	8.678571429	2.72276239	3.16342672	2.351717989	3.690311282	12.6	73.4	NA	29.8	14.9	2.9	14
PET0757	PET0757	5.074940342	38.29175617	7.545262325	20.66666667	3.063351112	5.074456839	1.257793378	13.36608333	4.527874667	4.166951532	358.5283	5467.1647	63.4153	75.8613	125.3067	131.9953	128.0487	1.687931791	1.74	1.976	2.0472	0.1709	0.4272	0.4	0.1032	0.2042	0.2579	0.1262	52.0003	46.0366	0.0008	74.7195	94.1246	0.0008	0.0306	0.2925	0.2593	1.3895	0.6068	0.4313	0.5563	0.6878	1.003	0.5363	14.1482	25	15	43	0.099979904	0.127862595	12.04878049	4.477159225	4.262872629	3.52303523	3.42	15.2	99.6	29	25.5	18	1	16
PET0758	PET0758	5.52163804	39.43297922	7.141536431	22	3.784196481	4.9425632	1.498852173	13.39350302	3.54940322	3.308327749	266.9571	3915.6409	52.578	60.96	94.4033	95.8427	93.4868	1.533576115	1.5722	1.7955	1.7601	0.1852	1	0.1852	0.0835	0.1618	0.3956	0.0592	131.7689	66.4765	0.0003	347.7076	157.8202	0.0088	0.0045	0.4941	0.1354	1.37	0.7173	0.7869	0.9204	0.8812	1.7944	0.3653	11.4261	38	29	NA	0.074106349	0.10712996	11.99977477	3.209423747	4.13501001	3.729754755	3.217309331	32.3	198.4	69	35.3	29.1	5	22
PET0759	PET0759	6.535642944	38.48018925	5.887743499	22.66666667	3.592032868	5.158882899	1.361197367	13.30681904	3.675642593	3.746982098	360.5179	6512.0873	69.9347	83.4813	118.4487	127.254	128.8453	1.543403133	1.5243	1.6937	1.8379	0.2518	0.8075	0.3118	0.0909	0.1652	0.3387	0	74.7632	63.2822	0	103.2176	156.6261	0.0004	0.0398	0.39	0.2003	1.6134	0.7086	0.6897	0.8106	0.8669	1.5191	0.3891	10.9047	35	23	60	0.094000615	0.105805126	12.68479976	3.549469451	4.588379466	3.50804083	3.615921358	32.2	155.9	45.7	39	31.5	6.4	18
