FID	IID	TLN	LIR	Days_to_budding	DTF 	Stem_diamater_at_flowering	Plant_height_at_flowering	Internode_length	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	Leaf_C_N ratio	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Petal_LW_ratio	Flower_FHDD_ratio	Guides_3_petals	Guides_individual_petal	Guides_3_petals_mod	Guides_individual_petal_mod	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Dark_petal	Stem_colour	Petiole_main_veins_colour	Darker_axillae	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Green_RGB_NEW	Phyllaries_diameter	Phyllaries_length	Phyllaries_width	Phyllaries_LW_ratio	Flowerhead_to_phyllaries_diameter_ratio	Disk_to_phyllaries_diameter_ratio	Seed_perimeter	Seed_area	Seed_width_mid_height	Seed_maximum_width	Seed_height_mid_width	Seed_maximum_height	Seed_curved_height	Seed_HW_ratio	Seed_fruit_shape_index_external_I	Seed_fruit_shape_index_external_II	Seed_curved_fruit_shape_index	Seed_proximal_fruit_blockiness	Seed_distal_fruit_blockiness	Seed_fruit_shape_triangle	Seed_ellipsoid	Seed_circular	Seed_rectangular	Seed_shoulder_height	Seed_proximal_angle_micro	Seed_proximal_angle_macro	Seed_proximal_indentation_area	Seed_distal_angle_micro	Seed_distal_angle_macro	Seed_distal_indentation_area	Seed_distal_end_protrusion	Seed_ovoid	Seed_v_asymmetry	Seed_h_asymmetry_ov	Seed_width_widest_pos	Seed_eccentricity	Seed_proximal_eccentricity	Seed_distal_eccentricity	Seed_fruit_shape_index_internal	Seed_eccentricity_area_index	Seed_lobedness_degree
ANN0811	ANN0811	18	0.75	24	49	34.6	141.7	7.872222222	46	43	20	15	24.12911969	6.516	42.642	6.544529584	4.71220972	5.624137718	1.778952267	15.06214814	3.138074384	3.185335778	0.530051559	0.545079528	0.530051559	0.545079528	12.71909496	3.016587215	4.544038415	3.631018126	0	1	3	1	589.2914	16067.5808	114.3	139.192	154.178	177.292	195.1035	1.40168616	1.2737	1.3489	1.4743	0.2244	1.0333	0.2172	0.0984	0.1244	0.4058	0.1114	67.8639	71.3941	0.0014	351.0244	13.1455	0.0147	0.0175	0.4831	0.1722	0.8567	0.7363	0.6973	0.8741	0.8901	1.3207	0.436	7.635	0.462330652	8.071653335	3.379994548	1.166694113	2.902966049	1.865709606	0.556333903	13.6180375	10.6764375	2.68155	2.7992875	5.0681	5.0866125	5.2206125	1.864979035	1.82545	1.8978	1.9387125	0.7906	0.4459625	1.7735875	0.056475	0.1913875	0.4665375	0.027475	104.2914	143.7882125	0.0040625	103.6418625	75.8402125	0.0008875	0.0140625	0.2677375	0.0299625	0.250825	0.3808625	0.7799875	0.8856125	0.8703375	1.8657125	0.3798875	14.62905
ANN0812	ANN0812	16	0.5	32	60	40.8	166.5	10.40625	66	40	7	23	21.39570016	5.235	44.366	8.475483605	4.640572127	5.451859026	1.691649579	14.60515541	3.233979963	3.145633206	0.595260791	0.628465198	0.696445593	0.721348899	12.03552882	3.16159313	4.21408216	3.607364498	1	1	1	0	534.6721	9283.5943	72.136	93.98	155.448	156.972	175.1924	1.864145563	1.6703	2.1549	2.2914	0.1901	1.1162	0.1703	0.1075	0.2093	0.386	0.1396	40.8022	51.0298	0.002	219.0038	12.6516	0.0742	0.0482	0.5373	0.0283	0.8648	0.7539	0.778	0.8856	0.8711	2	0.3712	13.9583	0.474800952	7.818020707	2.942150445	1.133359027	2.599614377	1.873440699	0.595050075	13.271475	10.617225	2.7966375	2.9593625	4.677825	4.70165	4.8445875	1.637037538	1.590625	1.6757875	1.716125	0.8473625	0.4747375	1.787325	0.0562125	0.1545875	0.4753125	0.0135375	43.706625	129.9588	0.015725	112.86975	91.357225	0.0014625	0.0294375	0.312925	0.0381375	0.253825	0.3325	0.7775	0.8890625	0.8679	1.6478	0.4023125	11.1050875
ANN0813	ANN0813	22	0.785714286	28	54	44.3	165.5	7.522727273	76	45	7	23	20.95531001	5.394	42.936	7.959372679	4.631358991	5.509755249	1.498567915	14.9273139	3.673211407	3.243868259	0.741884824	0.751019854	0.806413618	0.81326489	12.86335117	3.799099501	4.35339429	4.15656259	1	2	4	1	755.0923	16858.5469	101.092	134.874	198.628	209.296	253.4084	1.878852855	1.5518	1.9648	2.4274	0.201	1.0603	0.1896	0.1139	0.1901	0.3674	0.1415	56.5303	54.3319	0.0015	283.4723	191.326	0.0057	0.0239	0.4143	0.081	0.9781	0.6893	0.7582	0.8851	0.8801	1.9623	0.4036	11.3118	0.470191758	7.56123002	2.973239279	0.884259814	3.402829278	1.981572836	0.614878916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0814	ANN0814	18	0.818181818	22	49	31.2	120.7	6.705555556	51	38	6.5	19	19.65530888	6.395	41.801	6.536029326	2.975738472	4.023228019	1.781429453	10.76822607	2.285692214	3.619404636	1	1	1	1	10.074503	2.228266176	3.72095255	2.632597896	NA	1	4	0	363.5192	5975.2139	73.406	89.916	89.408	99.314	111.2929	1.237743005	1.1045	1.218	1.4654	0.263	1.0796	0.2436	0.1095	0.1146	0.4027	0.0734	75.2135	81.8589	0.0028	3.7808	205.3262	0.0357	0.0208	0.5596	0.0656	0.4815	0.7378	0.7538	0.9074	0.8647	1.225	0.4016	6.498	0.450100224	5.851062378	2.429943257	0.772449971	3.161312702	1.840191029	0.508471045	12.2164375	8.0427375	2.2053	2.3190625	4.3444625	4.4026625	4.5902375	1.979350492	1.9076625	1.98	2.078325	0.888725	0.528	1.684025	0.06045	0.208625	0.510475	0.0178	98.3169375	136.968425	0.0124375	88.9716875	79.3750875	0.003375	0.021075	0.3069375	0.031075	0.2290125	0.3445375	0.749375	0.8804125	0.846475	1.8536625	0.42685	16.62705
ANN0815	ANN0815	23	0.696969697	33	61	43.2	159.3	6.926086957	36	32	9.5	22	22.6349742	5.16	42.195	8.177396627	3.631450177	5.772395105	1.42803242	15.22316475	4.059264004	4.19216245	0.716680145	0.776237897	0.787510109	0.832178423	12.09521753	3.288316476	4.552942114	2.9893333	1	1	3	1	494.0577	9561.0131	86.36	110.744	121.158	144.272	155.9534	1.408233403	1.3028	1.4029	1.7268	0.1706	1.0382	0.1643	0.1233	0.1446	0.3589	0.0878	36.4681	50.7361	0.0018	28.543	4.2716	0.0489	0.0075	0.4671	0.1383	0.7447	0.6564	0.6631	0.8393	0.8545	1.3623	0.45	8.6055	0.456591158	8.21832028	3.236336881	1.215167884	2.664448259	1.882015952	0.447876421	13.232575	10.279825	2.8402875	2.95145	4.4648375	4.5111625	4.6918375	1.589672026	1.53045	1.5745625	1.6389125	0.7985	0.5054625	1.5839875	0.046775	0.13815	0.4947375	0.0196	95.3146	132.3641125	0.006475	107.65505	106.582025	0.0035125	0.0469875	0.249225	0.038675	0.1896	0.3745375	0.7455875	0.8686375	0.84875	1.4699	0.4135	9.68215
ANN0816	ANN0816	24	0.857142857	28	52	37.4	177.1	7.379166667	51	43	5	23	21.56233995	6.095	41.736	6.848071901	3.735422134	4.376362614	1.605882125	12.12369482	2.795018994	3.25599531	0.688249136	0.70285506	0.766186852	0.777141295	11.00355426	2.965641858	3.863814251	3.275925754	1	3	4	1	531.471	10973.0748	88.9	117.856	132.334	149.606	163.3474	1.385991379	1.2694	1.4886	1.3906	0.1743	1.14	0.1529	0.1132	0.1333	0.3997	0.0556	51.9003	69.3118	0.0025	7.5616	197.9518	0.079	0.0432	0.462	0.1033	0.7421	0.6878	0.7007	0.8841	0.8803	1.3642	0.4254	7.9471	0.465372387	6.335647217	2.417094155	0.892052874	2.66164213	1.919375717	0.589579295	13.7669625	10.933675	2.8561875	2.9950875	4.822025	4.8498125	4.9870625	1.665080736	1.619525	1.6885375	1.7277625	0.792775	0.48735	1.626875	0.0533625	0.1600625	0.459925	0.031425	127.681925	144.5667375	0.0036125	114.8835375	90.7441875	0.0012625	0.01385	0.2621625	0.034725	0.2283875	0.371525	0.7534375	0.85505	0.8675875	1.5937875	0.4011	11.392225
ANN0817	ANN0817	21	0.807692308	26	53	57.3	167.1	7.957142857	66	48	11	19	18.32179749	5.928	44.348	7.481575588	5.059751633	5.946625304	1.783520621	16.3379752	3.379523565	3.25389836	0.72839065	0.696945596	0.796292987	0.772709197	13.70735861	3.254383229	5.143278249	3.420802111	1	2	4	1	521.8955	9499.852	83.82	97.536	134.366	154.686	173.0546	1.774263862	1.5859	1.603	1.9246	0.197	0.9	0.2189	0.0946	0.1748	0.3703	0.0561	52.1869	56.9399	0.0058	5.874	2.7689	0.0075	0.0279	0.4448	0.1364	0.7232	0.6864	0.6941	0.8884	0.8866	1.5985	0.4058	11.8028	0.448651501	10.50474955	4.333365069	1.112370735	3.941959063	1.568500186	0.482545187	13.9913375	11.0148875	2.67495	2.815175	5.0800125	5.113075	5.21975	1.854147611	1.817825	1.90085	1.9378875	0.855425	0.4561625	1.878275	0.0574625	0.1939125	0.4839875	0.0160625	139.4371125	150.1400375	0.00555	119.3237125	72.0322625	0.0019125	0.0454	0.3080625	0.0208	0.2866875	0.348925	0.7552875	0.87975	0.84785	1.813625	0.4148625	14.8495
ANN0818	ANN0818	22	0.846153846	26	51	34.3	90.3	4.104545455	37	28	10	18	25.99911019	5.983	41.658	6.962701209	3.826076728	4.125032344	1.742338614	11.89003337	2.383937045	3.107436367	0.704353756	0.746525653	0.852176878	0.873262827	10.19505369	2.202230042	3.483024802	3.229004084	2	0	3	0	578.5618	12812.3615	88.9	120.65	154.686	168.402	195.2829	1.618590137	1.3958	1.74	1.8959	0.2229	1.2057	0.1848	0.1106	0.1574	0.4044	0.0998	54.3137	65.5324	0.0021	110.0691	227.9267	0.0164	0.0673	0.5688	0.0952	0.9168	0.7711	0.6767	0.855	0.825	1.4834	0.4649	10.1215	0.471896869	7.398195587	3.26188756	1.116124005	2.915705916	1.607371992	0.517187296	13.350275	9.9930625	2.668325	2.7437125	4.7188625	4.7757375	4.9466	1.802885689	1.75595	1.784625	1.8616375	0.7621375	0.455025	1.677875	0.0477125	0.1784125	0.46865	0.02475	176.5368375	149.0207875	0.0058875	154.8777625	86.9764	0.004025	0.0286375	0.2395125	0.0399625	0.2041625	0.4089375	0.7296125	0.857075	0.8421875	1.6419	0.414575	13.4424875
ANN0819	ANN0819	25	0.892857143	28	55	41	167.6	6.704	46	43	16	22	NA	NA	NA	NA	4.250341863	3.778948958	2.030968504	11.06368333	1.870527054	2.60997686	0.524785102	0.541758562	0.643588826	0.656318922	10.26600819	1.913758223	3.439495501	3.387017186	1	1	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.414758622	2.932856258	1.170028885	2.509570966	1.494590935	0.572922022	10.9057125	6.8163	2.1960625	2.32175	3.84175	3.8933375	4.0385375	1.739436847	1.6800375	1.75195	1.82525	0.8462625	0.446	1.9015375	0.0571375	0.1703625	0.45695	0.01375	56.0850125	143.3516875	0.014625	71.96945	79.89065	0.0021	0.01305	0.297175	0.0473625	0.22165	0.34035	0.7622375	0.872525	0.86845	1.684725	0.3984125	12.479125
ANN0820	ANN0820	23	0.58974359	39	68	40	190.4	8.27826087	51	35	10	25	21.54431384	4.783	42.918	8.972452973	4.294579337	5.339130161	1.775552838	14.72289801	2.984237439	3.432826683	0.537306909	0.625387903	0.652980182	0.719040927	13.132439	3.142529463	4.451013078	4.230412847	1	1	3	1	574.0875	12967.5225	95.758	124.46	158.242	168.402	180.6851	1.45175237	1.3531	1.6525	1.8819	0.1724	1.1379	0.1515	0.1167	0.1519	0.3619	0.0946	51.9547	58.1815	0.0014	319.7641	172.6177	0.0358	0.0141	0.5425	0.0627	0.9755	0.7198	0.7704	0.887	0.9156	1.5839	0.3583	9.5837	0.455312003	9.093383037	2.909124675	1.063802812	2.763701868	1.61730359	0.47150489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
