FID	IID	TLN	LIR	Days_to_budding	DTF 	Stem_diamater_at_flowering	Plant_height_at_flowering	Internode_length	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches	SLA_mm2_per_mg	Leaf_total_N	Leaf_total_C	Leaf_C_N ratio	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Petal_LW_ratio	Flower_FHDD_ratio	Guides_3_petals	Guides_individual_petal	Guides_3_petals_mod	Guides_individual_petal_mod	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Dark_petal	Stem_colour	Petiole_main_veins_colour	Darker_axillae	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Green_RGB_NEW	Phyllaries_diameter	Phyllaries_length	Phyllaries_width	Phyllaries_LW_ratio	Flowerhead_to_phyllaries_diameter_ratio	Disk_to_phyllaries_diameter_ratio	Seed_perimeter	Seed_area	Seed_width_mid_height	Seed_maximum_width	Seed_height_mid_width	Seed_maximum_height	Seed_curved_height	Seed_HW_ratio	Seed_fruit_shape_index_external_I	Seed_fruit_shape_index_external_II	Seed_curved_fruit_shape_index	Seed_proximal_fruit_blockiness	Seed_distal_fruit_blockiness	Seed_fruit_shape_triangle	Seed_ellipsoid	Seed_circular	Seed_rectangular	Seed_shoulder_height	Seed_proximal_angle_micro	Seed_proximal_angle_macro	Seed_proximal_indentation_area	Seed_distal_angle_micro	Seed_distal_angle_macro	Seed_distal_indentation_area	Seed_distal_end_protrusion	Seed_ovoid	Seed_v_asymmetry	Seed_h_asymmetry_ov	Seed_width_widest_pos	Seed_eccentricity	Seed_proximal_eccentricity	Seed_distal_eccentricity	Seed_fruit_shape_index_internal	Seed_eccentricity_area_index	Seed_lobedness_degree
ANN0967	ANN0967	27	0.771428571	35	68	30.4	176.1	6.522222222	33	32	18	22	19.75341851	5.151	38.985	7.567774386	5.334180115	5.321000458	1.760649592	15.7557442	3.025137775	2.953736695	0.683063856	0.646467352	0.841531928	0.823233676	14.6777292	3.135587137	4.729688354	5.218352491	2	0	1	0	513.808	10374.4954	81.026	107.188	138.938	153.67	168.4171	1.571230921	1.4336	1.7147	1.7504	0.2257	1.1881	0.19	0.1152	0.166	0.3676	0.132	50.88	50.2089	0.0032	4.3404	208.9879	0.0256	0.0116	0.5272	0.1241	0.8408	0.7446	0.7318	0.8735	0.9113	1.7	0.4387	10.7601	NA	10.26714223	4.257894582	1.589777429	2.68495002	1.536509913	0.520201966	14.7015875	12.0673625	2.751675	2.899825	5.4596875	5.54565	5.6559	1.950428043	1.916375	1.9886875	2.038325	0.7862	0.4400875	1.7887	0.0605625	0.210175	0.454325	0.00395	139.8683875	126.2525125	0.0044625	132.449825	65.23685	0	0	0.289725	0.0474875	0.2981125	0.3704625	0.780025	0.8897375	0.877975	1.9744625	0.384225	16.4976
ANN0968	ANN0968	18	0.818181818	22	55	29.9	144.2	8.011111111	31	27	21.5	22	35.32012817	5.814	36.558	6.28749746	5.648991209	4.630134067	1.972670781	14.684148	2.349629042	2.604139654	1	1	1	1	13.15641404	2.891066767	4.057152343	5.04210935	NA	0	1	0	520.8783	11959.3954	86.868	116.078	134.112	165.1	170.4523	1.468428987	1.4223	1.5439	1.9485	0.2836	1.1901	0.2383	0.1223	0.1696	0.3638	0	66.5622	62.8765	0	289.5853	168.1034	0.0933	0.0092	0.4211	0.1992	0.8752	0.7007	0.4715	0.6725	0.8384	0.9684	0.5903	11.193	0.478299558	10.4609688	3.829399341	1.670761129	2.331532749	1.404244728	0.540161	13.5428	11.02805	2.7847375	2.87735	4.925225	4.98475	5.0807875	1.765787096	1.7383875	1.7741875	1.8151125	0.78295	0.474725	1.6557625	0.0522625	0.1747875	0.4799	0.0038	46.539725	128.908575	0.0051625	109.5044625	86.71065	0.00055	0.0115	0.259225	0.0362	0.21625	0.3664	0.7675125	0.870525	0.8765875	1.7097	0.3930625	13.1238875
ANN0969	ANN0969	16	0.842105263	19	50	34.1	142.3	8.89375	41	NA	21	14	24.76955805	6.534	40.995	6.273803763	5.132667412	4.692363486	1.821333297	14.29377912	2.61613022	2.784834418	0.595771773	0.632052866	0.69682883	0.72403965	13.56578947	2.970229688	4.249178655	5.067432164	1	0	2	0	515.4553	12823.2002	104.648	131.064	133.604	149.86	161.991	1.235968687	1.1434	1.2767	1.311	0.2306	1.1359	0.203	0.108	0.1182	0.3864	0.1546	64.416	70.7988	0.0028	13.1039	189.8143	0.0034	0.0261	0.5182	0.1774	0.7967	0.725	0.6452	0.7724	0.8617	1.0983	0.4805	6.8355	0.468898148	9.601044132	3.939847885	1.410862398	2.826444073	1.491327331	0.535596106	14.0119375	11.0690875	2.7569625	2.9024875	5.0985125	5.1289625	5.2772625	1.818186125	1.76785	1.850325	1.89575	0.79795	0.4356875	1.8327125	0.0562125	0.1862125	0.443475	0.0083875	89.7166875	144.4130125	0.01095	112.4148125	70.373675	0	0	0.2830375	0.0394375	0.2800875	0.376325	0.7469	0.884	0.8326	1.7478375	0.4064375	13.88405
ANN0970	ANN0970	17	0.894736842	19	50	34.6	136	8	47	38	26	14	24.49331919	6.123	42.296	6.908007392	5.970424241	6.013771555	1.822246772	17.88301247	3.316902983	3.003038722	0.570350604	0.652661916	0.677762953	0.739496437	15.37556391	3.264607631	4.967435544	5.440692821	1	2	4	1	514.0035	11663.7186	83.82	107.696	155.702	178.562	180.9516	1.68020725	1.658	1.8576	2.0354	0.1818	0.9939	0.1829	0.1079	0.1974	0.3352	0.1073	104.7221	32.3687	0.007	339.9611	201.5751	0.0054	0.0995	0.4551	0.169	0.892	0.6919	0.7151	0.9228	0.8869	1.8731	0.4155	13.8327	0.493313707	11.12635784	4.533920353	1.507988967	3.035142953	1.609731996	0.536365933	13.388075	10.191875	2.7331375	2.870725	4.7294375	4.790275	4.9430875	1.721895166	1.6698	1.731825	1.7813375	0.7800875	0.4242125	1.8388875	0.054975	0.16645	0.4529125	0.0178375	107.9493625	143.0103	0.005925	98.381575	78.0053875	0.0019875	0.0718375	0.2757875	0.030175	0.2561375	0.36185	0.725825	0.851425	0.8419	1.5857375	0.4141125	12.0255125
ANN0971	ANN0971	19	0.76	25	62	35.6	160.9	8.468421053	36	32	28	17	25.79931958	6.293	42.592	6.767887513	4.776028262	5.369322365	1.222317556	14.8467756	4.379120576	3.11330603	0.652299289	0.744339214	0.739224467	0.808254411	13.10294118	4.140783784	3.878051307	5.346838562	1	1	3	0	557.3266	11754.17	93.218	114.046	143.002	167.894	182.2587	1.598115673	1.4722	1.5341	1.8233	0.158	1.0436	0.1514	0.1084	0.1598	0.3534	0.0925	47.1353	62.8571	0.002	38.4482	207.1907	0.0044	0.0439	0.4681	0.1689	0.8523	0.7239	0.5212	0.6825	0.8665	1.0617	0.5195	10.6174	0.442127079	9.752217671	3.623068771	1.068750222	3.372453711	1.532032088	0.491831918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0972	ANN0972	19	0.863636364	22	54	33.4	113.5	5.973684211	34	36	12	18	15.79310985	5.161	42.614	8.257689379	5.651552229	6.056206354	1.272825607	17.39455268	4.663953158	3.082485195	1	1	1	1	15.34970334	4.553106996	5.235707932	4.87828747	NA	2	4	1	848.9439	20630.5394	118.364	161.036	205.74	226.568	245.5401	1.52475285	1.4069	1.7382	1.4411	0.1159	1.1009	0.1053	0.1332	0.1811	0.3208	0.0685	26.5038	54.1019	0.0009	128.0153	10.0297	0.0039	0.0977	0.4361	0.0956	1.2593	0.6533	0.6689	0.8701	0.8778	1.3186	0.3383	10.1921	0.436750713	11.72147442	5.309911247	1.384961361	3.891985261	1.484082399	0.481950926	14.3899625	11.2133375	2.616725	2.754325	5.458375	5.5112625	5.62115	2.040844853	2.0071625	2.0923	2.132775	0.7490625	0.4189375	1.79635	0.0589625	0.21795	0.44645	0.0088625	105.99005	118.3047625	0.0072625	87.0326	68.23745	0.001575	0.0305875	0.2682875	0.0364375	0.2725625	0.3630375	0.76145	0.873275	0.8648125	1.9996125	0.3843875	17.5226
ANN0973	ANN0973	21	0.807692308	26	58	32	181.1	8.623809524	34	34	21.5	18	17.19294797	5.677	44.299	7.803507458	5.927070373	4.369909221	1.452146852	14.14851486	3.005274407	2.38828786	1	1	1	1	12.79116903	3.122929611	3.755333492	5.280502047	NA	3	3	1	549.3275	8525.9829	65.024	94.488	153.162	161.798	183.7425	1.944612014	1.7124	2.3555	2.7297	0.1836	1.2031	0.1526	0.125	0.2393	0.317	0.1112	35.4135	34.1341	0.0025	332.4184	7.8334	0.0153	0.1154	0.6144	0.079	1.0399	0.7597	0.7327	1	0.8678	2.0991	0.3852	16.2806	0.433873841	10.90056399	4.464690286	1.540773118	2.909791963	1.299340408	0.5442198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0974	ANN0974	26	0.787878788	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0975	ANN0975	29	0.828571429	35	68	37.9	243	8.379310345	38	35	21	27	22.30843881	5.244	43.284	8.25426638	6.254395467	4.389079814	1.345668111	14.60787292	3.267670893	2.338719128	1	1	1	1	13.01359642	3.486729139	3.782911523	5.447773371	NA	0	2	0	693.9245	18683.3175	115.57	142.24	200.66	213.106	227.7036	1.600840832	1.4982	1.7363	1.8075	0.1802	1.0198	0.1767	0.1098	0.179	0.3719	0	55.6853	56.172	0	145.8267	178.3352	0.0038	0.0947	0.4686	0.0824	1.0809	0.714	0.7303	0.8681	0.8536	1.6452	0.3826	10.8991	0.487002512	10.52548359	4.626448726	1.327939616	3.496611937	1.391499224	0.594724991	12.7588125	9.6155875	2.5677875	2.7014125	4.68445	4.729425	4.8495	1.79517197	1.751525	1.8259625	1.897775	0.7727375	0.466825	1.66135	0.05605	0.18315	0.4633375	0.0083125	122.5155125	132.5457125	0.00335	91.6352375	84.9680625	0.0013375	0.03985	0.2778375	0.028925	0.2324875	0.3583	0.779575	0.887025	0.8754625	1.8057125	0.3873125	13.5731125
ANN0976	ANN0976	21	0.636363636	33	61	32	151.6	7.219047619	38	34	23	19	14.60184915	4.71	44.528	9.454296681	4.976963057	5.03623193	1.32567024	14.93055811	3.818551458	3.011382636	1	1	1	1	13.11095218	3.850201973	4.466381761	4.178188654	NA	1	3	0	663.1002	16726.4182	119.126	149.86	178.308	184.912	209.9032	1.400661951	1.2339	1.4968	1.6773	0.1407	1.0853	0.1297	0.1273	0.1406	0.352	0.1085	50.1696	53.841	0.0015	172.147	192.919	0.0019	0.0376	0.5236	0.0374	1.0521	0.717	0.7703	0.8917	0.8861	1.4973	0.3655	7.8693	0.462351189	9.300058113	4.138803483	1.156526208	3.597691477	1.618656278	0.537598028	13.3810375	10.2865875	2.6088	2.7543125	4.8709625	4.9384625	5.0714375	1.841271642	1.8016875	1.8744875	1.9540375	0.81495	0.4540875	1.79525	0.058325	0.1916625	0.4687	0.006175	133.7198	137.1519125	0.0064	83.0692	81.3098875	0.003575	0.042125	0.3060625	0.037025	0.2623375	0.3313375	0.77275	0.889325	0.866125	1.8477	0.397125	14.5485
ANN0977	ANN0977	25	0.641025641	39	73	40.3	226.6	9.064	34	34	15.5	24	11.72527172	3.701	44.685	12.07252417	5.741289138	3.934528643	1.076952029	13.33735312	3.655213681	2.332446996	0.481034966	0.517034233	0.481034966	0.517034233	14.79327731	3.890548856	4.081814888	6.629647535	0	1	3	0	829.3467	14019.9074	86.36	133.604	180.848	185.928	242.161	1.812528068	1.3916	2.0941	2.4446	0.2735	1.2882	0.2123	0.1357	0.1924	0.342	0.1008	42.4409	57.2371	0.0106	333.2844	13.7326	0.0032	0.0795	0.5204	0.0984	1.1595	0.7064	0.5445	0.6317	0.8747	1.3267	0.5685	11.298	0.468920477	9.903161786	4.087401908	1.087467081	3.722305629	1.361588902	0.583137774	13.9253875	10.7451	2.6789125	2.8006125	5.1197	5.1646875	5.293625	1.890166883	1.8514	1.91835	1.970775	0.7597125	0.445375	1.7088125	0.0559	0.19615	0.454825	0.019375	104.828025	136.7398875	0.0035375	154.9260625	80.334	0.0010875	0.029325	0.2542625	0.031025	0.243525	0.3846	0.75305	0.878675	0.848525	1.82565	0.39375	14.9984125
ANN0978	ANN0978	29	0.659090909	44	80	35.1	283	9.75862069	36	31	6	29	13.0664324	4.094	44.781	10.93944325	5.339399821	4.724763062	1.275913221	14.89645329	3.834418075	2.786460519	0.757729225	0.789305265	0.878864613	0.894652633	13.09141474	4.041759822	4.134970666	4.821473404	2	1	2	0	567.9448	12477.1363	96.266	128.27	165.1	170.434	194.4051	1.51559289	1.3287	1.715	1.8443	0.1715	1.095	0.1566	0.1277	0.1517	0.3323	0.1277	45.3439	50.9114	0.0026	110.9307	196.1063	0.0036	0.1109	0.4719	0.0593	0.8843	0.6981	0.7284	0.8531	0.9071	1.5346	0.3698	9.2843	0.448210554	9.872835667	4.479955315	1.10752218	4.129118414	1.510196733	0.542137448	12.9777625	9.1066875	2.447425	2.566475	4.7439875	4.8180625	4.96195	1.933371648	1.880075	1.9433625	2.0324125	0.77595	0.4011625	1.9370625	0.060175	0.202875	0.440775	0.00945	115.6973875	133.96665	0.0023625	99.819325	59.903725	0.0051625	0.2192125	0.2880875	0.0345875	0.274725	0.3621625	0.72145	0.8612875	0.8272625	1.76455	0.4101125	15.6211
ANN0979	ANN0979	21	0.875	24	56	41.1	152	7.238095238	41	38	24	16	19.06761735	5.253	42.117	8.017351005	5.576072104	4.890624219	1.039200295	15.32145388	4.893833821	2.747235651	1	1	1	1	14.26116604	4.426324791	4.307312154	5.646541738	NA	0	4	0	658.4509	13518.9407	90.17	118.364	153.162	197.866	211.5391	1.787191207	1.6717	1.6986	1.4886	0.2282	0.9493	0.2404	0.1248	0.227	0.3369	0.0656	164.7033	32.3316	0.0041	143.3322	109.7576	0	0	0.348	0.2865	0.9374	0.6318	0.473	0.6904	0.8638	1.0575	0.52	14.8028	0.440097001	8.568427211	3.545910899	1.116842201	3.186136154	1.660504164	0.604684269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0980	ANN0980	35	0.777777778	45	91	41.7	253.3	7.237142857	43	43	19	33	11.70170678	2.768	43.97	15.88760925	4.408862129	3.574667049	1.062782098	11.48658518	3.376597426	2.605450858	0.552505093	0.617218017	0.776252547	0.808609009	9.756410256	3.746214102	2.877082051	4.002246154	2	0	2	1	694.9361	13760.037	98.298	115.316	191.262	202.692	233.9386	2.028674252	1.7577	1.9457	2.5293	0.2351	0.5039	0.4667	0.0919	0.1942	0.3651	0.1587	64.1499	60.4629	0.0028	54.5682	157.262	0.0029	0.1586	0.288	0.1115	0.6407	0.6742	0.7528	0.8798	0.8863	1.9481	0.3195	12.9707	0.485495711	8.475127068	3.933408458	0.943402701	4.200235533	1.354878848	0.520119052	15.2662375	12.9073125	2.9038	3.0784375	5.589325	5.644875	5.7661125	1.873064663	1.8359625	1.9275875	1.9507	0.8107875	0.4136875	1.968975	0.0586375	0.1956625	0.457425	0.020525	106.7292125	142.7693875	0.0041375	83.234725	73.8335625	0.001225	0.050725	0.28655	0.0425875	0.31245	0.3629375	0.7692375	0.8703	0.8787125	1.872925	0.3882625	14.8906375
ANN0981	ANN0981	22	0.709677419	31	53	37.2	167.9	7.631818182	43	41	17	19	25.76132206	2.688	39.05	14.52911026	5.430417741	6.547048993	1.589721843	18.49103558	4.214592541	3.405112923	1	1	1	1	15.20756778	4.719015199	5.40191061	4.403746558	NA	0	3	0	648.698	17365.7072	117.094	146.812	165.862	209.55	213.1673	1.451974634	1.4273	1.4165	1.7474	0.1866	0.6312	0.2955	0.112	0.1452	0.3116	0.0985	49.6538	53.5079	0.0019	5.6346	18.2752	0.0247	0.0338	0.2754	0.2378	0.835	0.6262	0.4466	0.6996	0.8196	0.8889	0.5555	9.5746	0.460220229	9.949906103	4.153196037	1.371368329	2.953726652	1.859523003	0.545895984	13.551275	10.6079375	2.721225	2.8403125	4.8074875	4.8656875	5.001025	1.760730553	1.71535	1.76855	1.8358375	0.8283875	0.4722	1.7553375	0.0532625	0.1753625	0.4848625	0.008775	29.9844125	110.3093375	0.0105	115.990725	86.2028375	0	0	0.269575	0.0348125	0.2440875	0.3849875	0.7714625	0.8825	0.873075	1.713425	0.392875	13.0231
ANN0982	ANN0982	18	0.9	20	44	23.8	85	4.722222222	30	30	22.5	14	40.11801695	6.741	41.48	6.153208046	5.023731568	4.307387505	1.161282084	13.47699014	3.785274016	2.690157331	0.724506397	0.720426801	0.862253198	0.8602134	12.58265883	3.918625895	3.201663795	6.179331242	2	2	4	0	376.7751	5917.4075	60.198	75.438	132.08	134.62	141.1427	1.870976166	1.7845	2.1941	2.3446	0.1899	0.8186	0.232	0.1015	0.2207	0.3278	0.1626	38.6683	47.2067	0.0032	90.3757	139.579	0.0044	0.0733	0.3964	0.0315	0.61	0.71	0.7335	0.8416	0.892	2.0421	0.3687	15.2242	0.468286365	9.933039615	3.884678401	1.131903215	3.435380735	1.358401479	0.506990707	12.7429375	8.9880875	2.2780625	2.406375	4.757225	4.819375	4.956325	2.059664433	2.0064125	2.09305	2.13955	0.8085125	0.5505375	1.47055	0.0604	0.2214	0.4931875	0	113.8345875	127.3585	0	127.5439625	80.727075	0.001475	0.0070375	0.2654625	0.033175	0.200425	0.3575625	0.76695	0.8776125	0.8709875	2.0168125	0.4093	17.9717625
ANN0983	ANN0983	23	0.696969697	33	63	40.1	182.4	7.930434783	35	NA	13	18	19.10354394	6.171	45.193	7.323841263	5.459441801	4.420758368	1.262696544	13.89987366	3.44499522	2.547640138	1	1	1	1	11.55573384	3.418924088	3.549773425	4.456186987	NA	0	2	0	548.2226	11586.2994	84.074	114.554	157.48	175.26	188.1645	1.64258341	1.5299	1.8731	2.1852	0.139	1.1329	0.1227	0.122	0.1928	0.3343	0.1037	29.3023	47.603	0.0009	75.0825	3.3345	0.0315	0.0704	0.4999	0.0674	0.9915	0.7101	0.7199	0.8841	0.8841	1.8788	0.4273	12.1441	0.439538728	9.122794783	3.368231449	1.119312293	3.003337449	1.526437594	0.599228731	12.6865875	8.917325	2.3971375	2.4963375	4.7042875	4.7677875	4.906425	1.965449383	1.915225	1.9681	2.0365375	0.7713	0.4402875	1.7531625	0.059075	0.2077875	0.4557125	0.005075	182.5015125	126.19505	0.00575	104.745125	64.8328625	0	0	0.2660875	0.0282875	0.23645	0.381025	0.7663	0.8817875	0.86635	1.9173625	0.386725	16.281225
ANN0984	ANN0984	20	0.833333333	24	52	40.1	164.2	8.21	46	35	18.5	15	20.44660921	5.569	42.519	7.634332394	5.418495167	4.868689641	NA	14.73845637	NA	2.722709516	1	1	1	1	12.18272366	3.369004235	3.915630091	4.351463479	NA	2	3	1	692.711	15895.194	92.71	119.126	196.342	230.124	237.1729	1.990941524	1.9318	2.1178	2.489	0.1753	0.8411	0.2085	0.1024	0.2367	0.3385	0.1153	37.0446	40.4074	0.0019	79.0135	149.494	0.0013	0.0396	0.3758	0.2093	1.0935	0.7134	0.3934	0.5337	0.7807	0.957	0.5778	17.3637	0.457524301	12.46969319	5.635348242	1.51662173	3.731493366	1.18387702	0.434514886	11.9551	8.0507125	2.2463	2.37465	4.4331	4.49925	4.6198625	1.945491967	1.8955375	1.975225	2.0047875	0.8117	0.4583125	1.77965	0.0605875	0.2055375	0.4601	0.0138625	103.9736125	135.014	0.006675	95.756475	72.6423375	0.0021625	0.0576375	0.29545	0.036425	0.23555	0.3478625	0.7661	0.8848625	0.8639375	1.927375	0.4006125	16.022575
ANN0985	ANN0985	34	0.739130435	46	79	39.6	270	7.941176471	52	43	19.5	33	NA	5.002	44.086	8.813497257	5.297655889	NA	1.247897547	14.55903414	3.714694033	2.678010748	1	1	1	1	10.97894091	4.444992428	3.566616892	4.432171273	NA	0	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.415517914	9.569173805	3.557014457	1.339562693	2.615830401	1.471981427	0.553030235	13.5495625	10.1949875	2.4645875	2.59555	5.1567375	5.19775	5.299925	2.04192753	2.0191125	2.11075	2.1519625	0.799425	0.4535625	1.7655	0.0613	0.220975	0.4624	0.0112625	217.761525	121.050375	0.0020125	112.0996875	63.004425	0.0021125	0.1722375	0.284125	0.040525	0.26315	0.362675	0.774725	0.888975	0.8658375	2.0648375	0.3931875	18.070475
ANN0986	ANN0986	24	0.857142857	28	64	62.5	206.2	8.591666667	64	48	19	26	24.67381634	5.817	44.193	7.596824919	6.267571477	5.037412329	1.222182138	15.89543735	4.140317278	2.540247985	1	1	1	1	13.27199197	4.490761579	4.121885981	5.028220009	NA	0	2	0	716.0204	15006.6151	89.916	120.396	200.406	209.55	234.8067	1.950286554	1.7405	2.2288	2.4196	0.1808	1.1667	0.155	0.1154	0.2214	0.3531	0.1112	32.6121	45.3744	0.0013	145.0364	170.4034	0.0068	0.0734	0.3777	0.0763	1.1475	0.6931	0.415	0.5777	0.6909	0.9396	0.5797	15.1891	0.448427947	12.89057642	6.047731488	1.116166561	5.381394685	1.250571307	0.492597716	15.4108375	13.2062625	2.812525	2.8972125	5.87375	5.9108	5.99315	2.068591793	2.062325	2.109625	2.114425	0.803375	0.4792625	1.6792375	0.0576875	0.220875	0.483325	0.0263125	85.617975	137.7431875	0.00375	103.7436	71.6865375	0.0003375	0.0065625	0.2578625	0.0322125	0.2534875	0.3820875	0.7762625	0.87385	0.8796125	2.0426625	0.3842375	18.3559625
ANN0987	ANN0987	18	0.818181818	22	51	34.4	156	8.666666667	43	32	19	14	18.28953193	6.352	43.466	6.842608685	5.241450527	4.803741809	1.608173479	14.90897332	2.995633623	2.851479188	0.699981316	0.741573327	0.774985987	0.806179995	11.70958022	3.094108612	3.643284545	4.423011128	1	3	3	1	728.3277	14004.2946	85.852	131.572	176.276	192.786	245.4657	1.865637826	1.4653	2.0533	1.9856	0.1509	1.0621	0.1421	0.1235	0.1917	0.2964	0.1148	42.0615	50.2381	0.0023	33.0472	127.833	0.0185	0.3083	0.4976	0.1251	1.1165	0.7453	0.7625	0.8838	0.9383	1.8889	0.3601	11.5797	0.430739012	14.5532739	6.828447838	1.532160749	4.856998928	1.03047149	0.361920995	14.153675	11.057925	2.6960875	2.9038125	5.056175	5.1051375	5.2353375	1.802918577	1.7595	1.877625	1.9341625	0.8805875	0.426525	2.067875	0.0633875	0.1897375	0.4584625	0.0089375	103.540925	139.4804875	0.0063125	75.687125	78.06035	0.0025375	0.0638875	0.3536125	0.0273875	0.3582125	0.3226375	0.7323	0.879525	0.822675	1.7272	0.42755	14.238275
ANN0988	ANN0988	21	0.875	24	57	40.1	144.6	6.885714286	39	32	20	16	16.03269001	5.241	41.282	7.876498288	5.798435744	4.859686667	1.425697429	15.36633276	3.419499864	2.65346152	1	1	1	1	13.43460709	3.440293375	4.032131132	5.370344821	NA	0	2	0	706.6859	16829.5147	118.364	149.098	166.116	187.96	208.3062	1.397109284	1.2606	1.4034	1.4375	0.1631	1.0451	0.1561	0.1217	0.1465	0.342	0.0848	49.3582	63.4409	0.0019	195.4376	36.2407	0.0347	0.1103	0.3258	0.1477	0.9992	0.6026	0.5494	0.7463	0.8529	0.9854	0.4964	7.9743	0.458179248	11.53960673	5.317919625	1.244299128	4.374537275	1.336682075	0.503690461	13.17095	10.10675	2.6842	2.7807875	4.84055	4.864375	4.9957875	1.796536952	1.7502375	1.8044875	1.8468	0.7748375	0.3977375	1.9490375	0.0523125	0.1756875	0.466975	0.017825	104.468025	140.0043375	0.00545	77.9937	76.7143375	0.001875	0.1135375	0.2708875	0.0221375	0.237925	0.37065	0.772	0.872775	0.874225	1.7466875	0.3747	13.0888
ANN0989	ANN0989	23	0.884615385	26	53	33.9	136.3	5.926086957	43	32	23	20	17.96762134	5.715	43.249	7.567864726	5.268473015	4.069211269	1.389524537	13.1012961	2.946677209	2.488199566	1	1	1	1	11.77408617	3.471259214	3.592214777	4.58965662	NA	1	3	1	549.6506	8892.1758	82.296	100.076	136.144	155.702	177.9564	1.778212558	1.5558	1.6543	1.5419	0.1605	0.8117	0.1977	0.1081	0.1746	0.3261	0.1206	52.0089	57.9943	0.0023	22.8168	134.9446	0.068	0.0104	0.4018	0.0991	0.6985	0.6759	0.5686	0.722	0.881	1.2609	0.4527	11.2282	0.447178547	8.78723455	3.450492014	0.952716959	3.67205414	1.492645271	0.599884354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANN0990	ANN0990	20	0.909090909	22	58	35	122.3	6.115	38	34	9	19	16.43191052	6.582	44.397	6.745184332	6.376751095	4.83157577	1.228844112	14.9022084	3.944483453	2.336959398	1	1	1	1	13.11135615	4.162513514	3.870832133	5.369691882	NA	0	2	NA	734.9546	12396.2333	100.838	127.254	143.51	163.322	214.9358	1.689029814	1.2834	1.4232	1.816	0.1662	1.0202	0.163	0.1327	0.1488	0.3309	0.1008	37.6988	63.5034	0.0027	129.0172	199.8731	0.0055	0.1588	0.402	0.1707	0.8357	0.6349	0.567	0.6753	0.8771	0.9891	0.4525	8.3615	0.443945007	8.738905443	3.126164144	1.247536676	2.506072508	1.705271729	0.729696772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
