sv_name	sv_species_name	trait	pvalue
ann05.01	annuus_ann05.01	Phyllaries_diameter	0.79
ann11.01	annuus_ann11.01	Phyllaries_diameter	0.74
ann13.01	annuus_ann13.01	Phyllaries_diameter	0.335
ann13.02	annuus_ann13.02	Phyllaries_diameter	0.907
ann14.01	annuus_ann14.01	Phyllaries_diameter	0.00275
ann14.02	annuus_ann14.02	Phyllaries_diameter	0.479
ann15.01	annuus_ann15.01	Phyllaries_diameter	0.742
ann16.01	annuus_ann16.01	Phyllaries_diameter	0.723
ann16.02	annuus_ann16.02	Phyllaries_diameter	0.371
ann17.01	annuus_ann17.01	Phyllaries_diameter	0.916
ann01.01	annuus_ann01.01	Phyllaries_length	0.716
ann05.01	annuus_ann05.01	Phyllaries_length	0.631
ann11.01	annuus_ann11.01	Phyllaries_length	0.495
ann13.01	annuus_ann13.01	Phyllaries_length	0.814
ann13.02	annuus_ann13.02	Phyllaries_length	0.772
ann14.01	annuus_ann14.01	Phyllaries_length	0.00693
ann14.02	annuus_ann14.02	Phyllaries_length	0.384
ann15.01	annuus_ann15.01	Phyllaries_length	0.42
ann16.01	annuus_ann16.01	Phyllaries_length	0.895
ann16.02	annuus_ann16.02	Phyllaries_length	0.0816
ann17.01	annuus_ann17.01	Phyllaries_length	0.637
ann01.01	annuus_ann01.01	Phyllaries_LW_ratio	0.498
ann05.01	annuus_ann05.01	Phyllaries_LW_ratio	0.14
ann11.01	annuus_ann11.01	Phyllaries_LW_ratio	0.579
ann13.01	annuus_ann13.01	Phyllaries_LW_ratio	0.729
ann13.02	annuus_ann13.02	Phyllaries_LW_ratio	0.589
ann14.01	annuus_ann14.01	Phyllaries_LW_ratio	0.326
ann14.02	annuus_ann14.02	Phyllaries_LW_ratio	0.144
ann15.01	annuus_ann15.01	Phyllaries_LW_ratio	0.621
ann16.01	annuus_ann16.01	Phyllaries_LW_ratio	0.823
ann16.02	annuus_ann16.02	Phyllaries_LW_ratio	0.238
ann17.01	annuus_ann17.01	Phyllaries_LW_ratio	0.701
ann01.01	annuus_ann01.01	Phyllaries_width	0.664
ann05.01	annuus_ann05.01	Phyllaries_width	0.285
ann11.01	annuus_ann11.01	Phyllaries_width	0.0941
ann13.01	annuus_ann13.01	Phyllaries_width	0.676
ann13.02	annuus_ann13.02	Phyllaries_width	0.523
ann14.01	annuus_ann14.01	Phyllaries_width	0.131
ann14.02	annuus_ann14.02	Phyllaries_width	0.772
ann15.01	annuus_ann15.01	Phyllaries_width	0.763
ann16.01	annuus_ann16.01	Phyllaries_width	0.998
ann16.02	annuus_ann16.02	Phyllaries_width	0.721
ann17.01	annuus_ann17.01	Phyllaries_width	0.182
ann01.01	annuus_ann01.01	Plant_height_at_flowering	0.993
ann05.01	annuus_ann05.01	Plant_height_at_flowering	0.8
ann11.01	annuus_ann11.01	Plant_height_at_flowering	0.0391
ann13.01	annuus_ann13.01	Plant_height_at_flowering	2.73e-5
ann13.02	annuus_ann13.02	Plant_height_at_flowering	0.0252
ann14.01	annuus_ann14.01	Plant_height_at_flowering	0.0615
ann14.02	annuus_ann14.02	Plant_height_at_flowering	0.125
ann15.01	annuus_ann15.01	Plant_height_at_flowering	2.71e-4
ann16.01	annuus_ann16.01	Plant_height_at_flowering	0.183
ann16.02	annuus_ann16.02	Plant_height_at_flowering	0.999
ann17.01	annuus_ann17.01	Plant_height_at_flowering	0.477
ann01.01	annuus_ann01.01	Primary_branches	0.861
ann05.01	annuus_ann05.01	Primary_branches	0.843
ann11.01	annuus_ann11.01	Primary_branches	0.0478
ann13.01	annuus_ann13.01	Primary_branches	5.25e-5
ann13.02	annuus_ann13.02	Primary_branches	0.0247
ann14.01	annuus_ann14.01	Primary_branches	0.0061
ann14.02	annuus_ann14.02	Primary_branches	0.111
ann15.01	annuus_ann15.01	Primary_branches	0.0955
ann16.01	annuus_ann16.01	Primary_branches	0.785
ann16.02	annuus_ann16.02	Primary_branches	0.896
ann17.01	annuus_ann17.01	Primary_branches	0.11
ann01.01	annuus_ann01.01	RGB_proportion_blue	0.942
ann05.01	annuus_ann05.01	RGB_proportion_blue	0.579
ann11.01	annuus_ann11.01	RGB_proportion_blue	0.0477
ann13.01	annuus_ann13.01	RGB_proportion_blue	0.0399
ann13.02	annuus_ann13.02	RGB_proportion_blue	0.677
ann14.01	annuus_ann14.01	RGB_proportion_blue	0.602
ann14.02	annuus_ann14.02	RGB_proportion_blue	0.625
ann15.01	annuus_ann15.01	RGB_proportion_blue	0.708
ann16.01	annuus_ann16.01	RGB_proportion_blue	0.184
ann16.02	annuus_ann16.02	RGB_proportion_blue	0.0186
ann17.01	annuus_ann17.01	RGB_proportion_blue	0.46
ann01.01	annuus_ann01.01	RGB_proportion_green	0.883
ann05.01	annuus_ann05.01	RGB_proportion_green	0.737
ann11.01	annuus_ann11.01	RGB_proportion_green	0.121
ann13.01	annuus_ann13.01	RGB_proportion_green	0.364
ann13.02	annuus_ann13.02	RGB_proportion_green	0.772
ann14.01	annuus_ann14.01	RGB_proportion_green	0.838
ann14.02	annuus_ann14.02	RGB_proportion_green	0.466
ann15.01	annuus_ann15.01	RGB_proportion_green	0.726
ann16.01	annuus_ann16.01	RGB_proportion_green	0.84
ann16.02	annuus_ann16.02	RGB_proportion_green	0.237
ann17.01	annuus_ann17.01	RGB_proportion_green	0.776
ann01.01	annuus_ann01.01	RGB_proportion_red	0.381
ann05.01	annuus_ann05.01	RGB_proportion_red	0.552
ann11.01	annuus_ann11.01	RGB_proportion_red	0.217
ann13.01	annuus_ann13.01	RGB_proportion_red	0.138
ann13.02	annuus_ann13.02	RGB_proportion_red	0.909
ann14.01	annuus_ann14.01	RGB_proportion_red	0.704
ann14.02	annuus_ann14.02	RGB_proportion_red	0.266
ann15.01	annuus_ann15.01	RGB_proportion_red	0.343
ann16.01	annuus_ann16.01	RGB_proportion_red	0.852
ann16.02	annuus_ann16.02	RGB_proportion_red	0.315
ann17.01	annuus_ann17.01	RGB_proportion_red	0.553
ann01.01	annuus_ann01.01	Seed_area	0.228
ann05.01	annuus_ann05.01	Seed_area	0.92
ann11.01	annuus_ann11.01	Seed_area	0.776
ann13.01	annuus_ann13.01	Seed_area	0.818
ann13.02	annuus_ann13.02	Seed_area	0.558
ann14.01	annuus_ann14.01	Seed_area	0.28
ann14.02	annuus_ann14.02	Seed_area	0.513
ann15.01	annuus_ann15.01	Seed_area	0.231
ann16.01	annuus_ann16.01	Seed_area	0.747
ann16.02	annuus_ann16.02	Seed_area	0.529
ann17.01	annuus_ann17.01	Seed_area	0.738
ann01.01	annuus_ann01.01	Seed_circular	0.501
ann05.01	annuus_ann05.01	Seed_circular	0.984
ann11.01	annuus_ann11.01	Seed_circular	0.00578
ann13.01	annuus_ann13.01	Seed_circular	0.307
ann13.02	annuus_ann13.02	Seed_circular	0.587
ann14.01	annuus_ann14.01	Seed_circular	0.493
ann14.02	annuus_ann14.02	Seed_circular	0.051
ann15.01	annuus_ann15.01	Seed_circular	0.437
ann16.01	annuus_ann16.01	Seed_circular	0.953
ann16.02	annuus_ann16.02	Seed_circular	0.123
ann17.01	annuus_ann17.01	Seed_circular	0.77
ann01.01	annuus_ann01.01	Seed_curved_height	0.35
ann05.01	annuus_ann05.01	Seed_curved_height	0.88
ann11.01	annuus_ann11.01	Seed_curved_height	0.272
ann13.01	annuus_ann13.01	Seed_curved_height	0.799
ann13.02	annuus_ann13.02	Seed_curved_height	0.575
ann14.01	annuus_ann14.01	Seed_curved_height	0.374
ann14.02	annuus_ann14.02	Seed_curved_height	0.676
ann15.01	annuus_ann15.01	Seed_curved_height	0.422
ann16.01	annuus_ann16.01	Seed_curved_height	0.739
ann16.02	annuus_ann16.02	Seed_curved_height	0.284
ann17.01	annuus_ann17.01	Seed_curved_height	0.766
ann01.01	annuus_ann01.01	Seed_curved_shape_index	0.65
ann05.01	annuus_ann05.01	Seed_curved_shape_index	0.973
ann11.01	annuus_ann11.01	Seed_curved_shape_index	0.00972
ann13.01	annuus_ann13.01	Seed_curved_shape_index	0.26
ann13.02	annuus_ann13.02	Seed_curved_shape_index	0.567
ann14.01	annuus_ann14.01	Seed_curved_shape_index	0.65
ann14.02	annuus_ann14.02	Seed_curved_shape_index	0.0314
ann15.01	annuus_ann15.01	Seed_curved_shape_index	0.592
ann16.01	annuus_ann16.01	Seed_curved_shape_index	0.931
ann16.02	annuus_ann16.02	Seed_curved_shape_index	0.202
ann17.01	annuus_ann17.01	Seed_curved_shape_index	0.993
ann01.01	annuus_ann01.01	Seed_distal_eccentricity	0.151
ann05.01	annuus_ann05.01	Seed_distal_eccentricity	0.343
ann11.01	annuus_ann11.01	Seed_distal_eccentricity	0.0459
ann13.01	annuus_ann13.01	Seed_distal_eccentricity	0.925
ann13.02	annuus_ann13.02	Seed_distal_eccentricity	0.124
ann14.01	annuus_ann14.01	Seed_distal_eccentricity	0.958
ann14.02	annuus_ann14.02	Seed_distal_eccentricity	0.762
ann15.01	annuus_ann15.01	Seed_distal_eccentricity	0.776
ann16.01	annuus_ann16.01	Seed_distal_eccentricity	0.818
ann16.02	annuus_ann16.02	Seed_distal_eccentricity	0.0175
ann17.01	annuus_ann17.01	Seed_distal_eccentricity	0.483
ann01.01	annuus_ann01.01	Seed_eccentricity_area_index	0.199
ann05.01	annuus_ann05.01	Seed_eccentricity_area_index	0.497
ann11.01	annuus_ann11.01	Seed_eccentricity_area_index	0.00753
ann13.01	annuus_ann13.01	Seed_eccentricity_area_index	0.649
ann13.02	annuus_ann13.02	Seed_eccentricity_area_index	0.0266
ann14.01	annuus_ann14.01	Seed_eccentricity_area_index	0.359
ann14.02	annuus_ann14.02	Seed_eccentricity_area_index	0.0543
ann15.01	annuus_ann15.01	Seed_eccentricity_area_index	0.816
ann16.01	annuus_ann16.01	Seed_eccentricity_area_index	0.00454
ann16.02	annuus_ann16.02	Seed_eccentricity_area_index	0.939
ann17.01	annuus_ann17.01	Seed_eccentricity_area_index	0.388
ann01.01	annuus_ann01.01	Seed_eccentricity	0.569
ann05.01	annuus_ann05.01	Seed_eccentricity	0.446
ann11.01	annuus_ann11.01	Seed_eccentricity	0.113
ann13.01	annuus_ann13.01	Seed_eccentricity	0.778
ann13.02	annuus_ann13.02	Seed_eccentricity	0.199
ann14.01	annuus_ann14.01	Seed_eccentricity	0.813
ann14.02	annuus_ann14.02	Seed_eccentricity	0.561
ann15.01	annuus_ann15.01	Seed_eccentricity	0.873
ann16.01	annuus_ann16.01	Seed_eccentricity	0.71
ann16.02	annuus_ann16.02	Seed_eccentricity	0.115
ann17.01	annuus_ann17.01	Seed_eccentricity	0.851
ann01.01	annuus_ann01.01	Seed_ellipsoid	0.664
ann05.01	annuus_ann05.01	Seed_ellipsoid	0.84
ann11.01	annuus_ann11.01	Seed_ellipsoid	0.00826
ann13.01	annuus_ann13.01	Seed_ellipsoid	0.177
ann13.02	annuus_ann13.02	Seed_ellipsoid	0.189
ann14.01	annuus_ann14.01	Seed_ellipsoid	0.916
ann14.02	annuus_ann14.02	Seed_ellipsoid	0.23
ann15.01	annuus_ann15.01	Seed_ellipsoid	0.547
ann16.01	annuus_ann16.01	Seed_ellipsoid	0.289
ann16.02	annuus_ann16.02	Seed_ellipsoid	0.149
ann17.01	annuus_ann17.01	Seed_ellipsoid	0.86
ann01.01	annuus_ann01.01	Seed_height_mid_width	0.364
ann05.01	annuus_ann05.01	Seed_height_mid_width	0.918
ann11.01	annuus_ann11.01	Seed_height_mid_width	0.28
ann13.01	annuus_ann13.01	Seed_height_mid_width	0.754
ann13.02	annuus_ann13.02	Seed_height_mid_width	0.662
ann14.01	annuus_ann14.01	Seed_height_mid_width	0.327
ann14.02	annuus_ann14.02	Seed_height_mid_width	0.748
ann15.01	annuus_ann15.01	Seed_height_mid_width	0.43
ann16.01	annuus_ann16.01	Seed_height_mid_width	0.629
ann16.02	annuus_ann16.02	Seed_height_mid_width	0.235
ann17.01	annuus_ann17.01	Seed_height_mid_width	0.833
ann01.01	annuus_ann01.01	Seed_HW_ratio	0.608
ann05.01	annuus_ann05.01	Seed_HW_ratio	0.804
ann11.01	annuus_ann11.01	Seed_HW_ratio	0.00892
ann13.01	annuus_ann13.01	Seed_HW_ratio	0.376
ann13.02	annuus_ann13.02	Seed_HW_ratio	0.685
ann14.01	annuus_ann14.01	Seed_HW_ratio	0.498
ann14.02	annuus_ann14.02	Seed_HW_ratio	0.0311
ann15.01	annuus_ann15.01	Seed_HW_ratio	0.449
ann16.01	annuus_ann16.01	Seed_HW_ratio	0.866
ann16.02	annuus_ann16.02	Seed_HW_ratio	0.313
ann17.01	annuus_ann17.01	Seed_HW_ratio	0.803
ann01.01	annuus_ann01.01	Seed_maximum_height	0.386
ann05.01	annuus_ann05.01	Seed_maximum_height	0.887
ann11.01	annuus_ann11.01	Seed_maximum_height	0.262
ann13.01	annuus_ann13.01	Seed_maximum_height	0.799
ann13.02	annuus_ann13.02	Seed_maximum_height	0.612
ann14.01	annuus_ann14.01	Seed_maximum_height	0.335
ann14.02	annuus_ann14.02	Seed_maximum_height	0.751
ann15.01	annuus_ann15.01	Seed_maximum_height	0.435
ann16.01	annuus_ann16.01	Seed_maximum_height	0.644
ann16.02	annuus_ann16.02	Seed_maximum_height	0.252
ann17.01	annuus_ann17.01	Seed_maximum_height	0.784
ann01.01	annuus_ann01.01	Seed_maximum_width	0.144
ann05.01	annuus_ann05.01	Seed_maximum_width	0.922
ann11.01	annuus_ann11.01	Seed_maximum_width	0.119
ann13.01	annuus_ann13.01	Seed_maximum_width	0.68
ann13.02	annuus_ann13.02	Seed_maximum_width	0.379
ann14.01	annuus_ann14.01	Seed_maximum_width	0.126
ann14.02	annuus_ann14.02	Seed_maximum_width	0.239
ann15.01	annuus_ann15.01	Seed_maximum_width	0.113
ann16.01	annuus_ann16.01	Seed_maximum_width	0.891
ann16.02	annuus_ann16.02	Seed_maximum_width	0.713
ann17.01	annuus_ann17.01	Seed_maximum_width	0.389
ann01.01	annuus_ann01.01	Seed_ovoid	0.762
ann05.01	annuus_ann05.01	Seed_ovoid	0.397
ann11.01	annuus_ann11.01	Seed_ovoid	0.66
ann13.01	annuus_ann13.01	Seed_ovoid	0.453
ann13.02	annuus_ann13.02	Seed_ovoid	0.206
ann14.01	annuus_ann14.01	Seed_ovoid	0.709
ann14.02	annuus_ann14.02	Seed_ovoid	0.637
ann15.01	annuus_ann15.01	Seed_ovoid	0.669
ann16.01	annuus_ann16.01	Seed_ovoid	0.0308
ann16.02	annuus_ann16.02	Seed_ovoid	0.238
ann17.01	annuus_ann17.01	Seed_ovoid	0.899
ann01.01	annuus_ann01.01	Seed_perimeter	0.262
ann05.01	annuus_ann05.01	Seed_perimeter	0.938
ann11.01	annuus_ann11.01	Seed_perimeter	0.603
ann13.01	annuus_ann13.01	Seed_perimeter	0.885
ann13.02	annuus_ann13.02	Seed_perimeter	0.606
ann14.01	annuus_ann14.01	Seed_perimeter	0.252
ann14.02	annuus_ann14.02	Seed_perimeter	0.904
ann15.01	annuus_ann15.01	Seed_perimeter	0.24
ann16.01	annuus_ann16.01	Seed_perimeter	0.979
ann16.02	annuus_ann16.02	Seed_perimeter	0.391
ann17.01	annuus_ann17.01	Seed_perimeter	0.636
ann01.01	annuus_ann01.01	Seed_proximal_eccentricity	0.184
ann05.01	annuus_ann05.01	Seed_proximal_eccentricity	0.718
ann11.01	annuus_ann11.01	Seed_proximal_eccentricity	0.646
ann13.01	annuus_ann13.01	Seed_proximal_eccentricity	0.48
ann13.02	annuus_ann13.02	Seed_proximal_eccentricity	0.759
ann14.01	annuus_ann14.01	Seed_proximal_eccentricity	0.698
ann14.02	annuus_ann14.02	Seed_proximal_eccentricity	0.0598
ann15.01	annuus_ann15.01	Seed_proximal_eccentricity	0.806
ann16.01	annuus_ann16.01	Seed_proximal_eccentricity	0.347
ann16.02	annuus_ann16.02	Seed_proximal_eccentricity	0.294
ann17.01	annuus_ann17.01	Seed_proximal_eccentricity	0.572
ann01.01	annuus_ann01.01	Seed_rectangular	0.887
ann05.01	annuus_ann05.01	Seed_rectangular	0.781
ann11.01	annuus_ann11.01	Seed_rectangular	0.893
ann13.01	annuus_ann13.01	Seed_rectangular	0.604
ann13.02	annuus_ann13.02	Seed_rectangular	0.721
ann14.01	annuus_ann14.01	Seed_rectangular	0.073
ann14.02	annuus_ann14.02	Seed_rectangular	0.0411
ann15.01	annuus_ann15.01	Seed_rectangular	0.98
ann16.01	annuus_ann16.01	Seed_rectangular	0.317
ann16.02	annuus_ann16.02	Seed_rectangular	0.0739
ann17.01	annuus_ann17.01	Seed_rectangular	0.874
ann01.01	annuus_ann01.01	Seed_shape_index_external_I	0.619
ann05.01	annuus_ann05.01	Seed_shape_index_external_I	0.807
ann11.01	annuus_ann11.01	Seed_shape_index_external_I	0.00806
ann13.01	annuus_ann13.01	Seed_shape_index_external_I	0.361
ann13.02	annuus_ann13.02	Seed_shape_index_external_I	0.683
ann14.01	annuus_ann14.01	Seed_shape_index_external_I	0.576
ann14.02	annuus_ann14.02	Seed_shape_index_external_I	0.0377
ann15.01	annuus_ann15.01	Seed_shape_index_external_I	0.484
ann16.01	annuus_ann16.01	Seed_shape_index_external_I	0.752
ann16.02	annuus_ann16.02	Seed_shape_index_external_I	0.255
ann17.01	annuus_ann17.01	Seed_shape_index_external_I	0.822
ann01.01	annuus_ann01.01	Seed_shape_index_external_II	0.649
ann05.01	annuus_ann05.01	Seed_shape_index_external_II	0.93
ann11.01	annuus_ann11.01	Seed_shape_index_external_II	0.00635
ann13.01	annuus_ann13.01	Seed_shape_index_external_II	0.263
ann13.02	annuus_ann13.02	Seed_shape_index_external_II	0.555
ann14.01	annuus_ann14.01	Seed_shape_index_external_II	0.633
ann14.02	annuus_ann14.02	Seed_shape_index_external_II	0.0389
ann15.01	annuus_ann15.01	Seed_shape_index_external_II	0.512
ann16.01	annuus_ann16.01	Seed_shape_index_external_II	0.883
ann16.02	annuus_ann16.02	Seed_shape_index_external_II	0.166
ann17.01	annuus_ann17.01	Seed_shape_index_external_II	0.77
ann01.01	annuus_ann01.01	Seed_shape_index_internal	0.504
ann05.01	annuus_ann05.01	Seed_shape_index_internal	0.777
ann11.01	annuus_ann11.01	Seed_shape_index_internal	0.0486
ann13.01	annuus_ann13.01	Seed_shape_index_internal	0.272
ann13.02	annuus_ann13.02	Seed_shape_index_internal	0.946
ann14.01	annuus_ann14.01	Seed_shape_index_internal	0.723
ann14.02	annuus_ann14.02	Seed_shape_index_internal	0.0626
ann15.01	annuus_ann15.01	Seed_shape_index_internal	0.436
ann16.01	annuus_ann16.01	Seed_shape_index_internal	0.515
ann16.02	annuus_ann16.02	Seed_shape_index_internal	0.224
ann17.01	annuus_ann17.01	Seed_shape_index_internal	0.58
ann01.01	annuus_ann01.01	Seed_width_mid_height	0.149
ann05.01	annuus_ann05.01	Seed_width_mid_height	0.827
ann11.01	annuus_ann11.01	Seed_width_mid_height	0.0866
ann13.01	annuus_ann13.01	Seed_width_mid_height	0.57
ann13.02	annuus_ann13.02	Seed_width_mid_height	0.336
ann14.01	annuus_ann14.01	Seed_width_mid_height	0.151
ann14.02	annuus_ann14.02	Seed_width_mid_height	0.246
ann15.01	annuus_ann15.01	Seed_width_mid_height	0.128
ann16.01	annuus_ann16.01	Seed_width_mid_height	0.939
ann16.02	annuus_ann16.02	Seed_width_mid_height	0.564
ann17.01	annuus_ann17.01	Seed_width_mid_height	0.4
ann01.01	annuus_ann01.01	Seed_width_widest_pos	0.621
ann05.01	annuus_ann05.01	Seed_width_widest_pos	0.611
ann11.01	annuus_ann11.01	Seed_width_widest_pos	0.56
ann13.01	annuus_ann13.01	Seed_width_widest_pos	0.504
ann13.02	annuus_ann13.02	Seed_width_widest_pos	0.0738
ann14.01	annuus_ann14.01	Seed_width_widest_pos	0.441
ann14.02	annuus_ann14.02	Seed_width_widest_pos	0.845
ann15.01	annuus_ann15.01	Seed_width_widest_pos	0.794
ann16.01	annuus_ann16.01	Seed_width_widest_pos	0.426
ann16.02	annuus_ann16.02	Seed_width_widest_pos	0.0448
ann17.01	annuus_ann17.01	Seed_width_widest_pos	0.192
ann01.01	annuus_ann01.01	SLA	0.855
ann05.01	annuus_ann05.01	SLA	0.814
ann11.01	annuus_ann11.01	SLA	0.919
ann13.01	annuus_ann13.01	SLA	0.0976
ann13.02	annuus_ann13.02	SLA	0.0757
ann14.01	annuus_ann14.01	SLA	0.896
ann14.02	annuus_ann14.02	SLA	0.16
ann15.01	annuus_ann15.01	SLA	0.809
ann16.01	annuus_ann16.01	SLA	0.0302
ann16.02	annuus_ann16.02	SLA	0.909
ann17.01	annuus_ann17.01	SLA	0.317
ann01.01	annuus_ann01.01	Stem_colour	0.83
ann05.01	annuus_ann05.01	Stem_colour	0.166
ann11.01	annuus_ann11.01	Stem_colour	0.704
ann13.01	annuus_ann13.01	Stem_colour	0.63
ann13.02	annuus_ann13.02	Stem_colour	0.48
ann14.01	annuus_ann14.01	Stem_colour	0.00769
ann14.02	annuus_ann14.02	Stem_colour	0.177
ann15.01	annuus_ann15.01	Stem_colour	0.856
ann16.01	annuus_ann16.01	Stem_colour	0.481
ann16.02	annuus_ann16.02	Stem_colour	0.219
ann17.01	annuus_ann17.01	Stem_colour	0.502
ann01.01	annuus_ann01.01	Stem_diameter_at_flowering	0.529
ann05.01	annuus_ann05.01	Stem_diameter_at_flowering	0.628
ann11.01	annuus_ann11.01	Stem_diameter_at_flowering	0.0567
ann13.01	annuus_ann13.01	Stem_diameter_at_flowering	1.05e-4
ann13.02	annuus_ann13.02	Stem_diameter_at_flowering	0.206
ann14.01	annuus_ann14.01	Stem_diameter_at_flowering	0.021
ann14.02	annuus_ann14.02	Stem_diameter_at_flowering	0.159
ann15.01	annuus_ann15.01	Stem_diameter_at_flowering	0.00428
ann16.01	annuus_ann16.01	Stem_diameter_at_flowering	0.792
ann16.02	annuus_ann16.02	Stem_diameter_at_flowering	0.5
ann17.01	annuus_ann17.01	Stem_diameter_at_flowering	0.583
ann01.01	annuus_ann01.01	Stem_diameter_final_after_5th_node	0.742
ann05.01	annuus_ann05.01	Stem_diameter_final_after_5th_node	0.138
ann11.01	annuus_ann11.01	Stem_diameter_final_after_5th_node	0.0301
ann13.01	annuus_ann13.01	Stem_diameter_final_after_5th_node	0.00939
ann13.02	annuus_ann13.02	Stem_diameter_final_after_5th_node	0.633
ann14.01	annuus_ann14.01	Stem_diameter_final_after_5th_node	0.479
ann14.02	annuus_ann14.02	Stem_diameter_final_after_5th_node	0.515
ann15.01	annuus_ann15.01	Stem_diameter_final_after_5th_node	0.0233
ann16.01	annuus_ann16.01	Stem_diameter_final_after_5th_node	0.471
ann16.02	annuus_ann16.02	Stem_diameter_final_after_5th_node	0.888
ann17.01	annuus_ann17.01	Stem_diameter_final_after_5th_node	0.661
ann01.01	annuus_ann01.01	Stem_diameter_final_before_1st_node	0.615
ann05.01	annuus_ann05.01	Stem_diameter_final_before_1st_node	0.815
ann11.01	annuus_ann11.01	Stem_diameter_final_before_1st_node	0.191
ann13.01	annuus_ann13.01	Stem_diameter_final_before_1st_node	7.52e-4
ann13.02	annuus_ann13.02	Stem_diameter_final_before_1st_node	0.191
ann14.01	annuus_ann14.01	Stem_diameter_final_before_1st_node	0.046
ann14.02	annuus_ann14.02	Stem_diameter_final_before_1st_node	0.693
ann15.01	annuus_ann15.01	Stem_diameter_final_before_1st_node	0.0344
ann16.01	annuus_ann16.01	Stem_diameter_final_before_1st_node	0.402
ann16.02	annuus_ann16.02	Stem_diameter_final_before_1st_node	0.166
ann17.01	annuus_ann17.01	Stem_diameter_final_before_1st_node	0.508
ann01.01	annuus_ann01.01	TLN	0.48
ann05.01	annuus_ann05.01	TLN	0.777
ann11.01	annuus_ann11.01	TLN	0.0869
ann13.01	annuus_ann13.01	TLN	9.75e-6
ann13.02	annuus_ann13.02	TLN	0.102
ann14.01	annuus_ann14.01	TLN	0.0278
ann14.02	annuus_ann14.02	TLN	0.437
ann15.01	annuus_ann15.01	TLN	0.0245
ann16.01	annuus_ann16.01	TLN	0.719
ann16.02	annuus_ann16.02	TLN	0.807
ann17.01	annuus_ann17.01	TLN	0.178
ann01.01	annuus_ann01.01	Total_RGB	0.712
ann05.01	annuus_ann05.01	Total_RGB	0.461
ann11.01	annuus_ann11.01	Total_RGB	0.0541
ann13.01	annuus_ann13.01	Total_RGB	0.0615
ann13.02	annuus_ann13.02	Total_RGB	0.074
ann14.01	annuus_ann14.01	Total_RGB	0.235
ann14.02	annuus_ann14.02	Total_RGB	0.339
ann15.01	annuus_ann15.01	Total_RGB	0.0651
ann16.01	annuus_ann16.01	Total_RGB	0.388
ann16.02	annuus_ann16.02	Total_RGB	0.617
ann17.01	annuus_ann17.01	Total_RGB	0.873
ann01.01	annuus_ann01.01	Trichomes_density_center_average	0.467
ann05.01	annuus_ann05.01	Trichomes_density_center_average	0.822
ann11.01	annuus_ann11.01	Trichomes_density_center_average	0.935
ann13.01	annuus_ann13.01	Trichomes_density_center_average	0.534
ann13.02	annuus_ann13.02	Trichomes_density_center_average	0.192
ann14.01	annuus_ann14.01	Trichomes_density_center_average	0.421
ann14.02	annuus_ann14.02	Trichomes_density_center_average	0.876
ann15.01	annuus_ann15.01	Trichomes_density_center_average	0.624
ann16.01	annuus_ann16.01	Trichomes_density_center_average	0.609
ann16.02	annuus_ann16.02	Trichomes_density_center_average	0.706
ann17.01	annuus_ann17.01	Trichomes_density_center_average	0.972
ann01.01	annuus_ann01.01	Trichomes_density_edge_average	0.97
ann05.01	annuus_ann05.01	Trichomes_density_edge_average	0.261
ann11.01	annuus_ann11.01	Trichomes_density_edge_average	0.243
ann13.01	annuus_ann13.01	Trichomes_density_edge_average	0.689
ann13.02	annuus_ann13.02	Trichomes_density_edge_average	0.723
ann14.01	annuus_ann14.01	Trichomes_density_edge_average	0.751
ann14.02	annuus_ann14.02	Trichomes_density_edge_average	0.723
ann15.01	annuus_ann15.01	Trichomes_density_edge_average	0.944
ann16.01	annuus_ann16.01	Trichomes_density_edge_average	0.61
ann16.02	annuus_ann16.02	Trichomes_density_edge_average	0.997
ann17.01	annuus_ann17.01	Trichomes_density_edge_average	0.614
ann01.01	annuus_ann01.01	Trichomes_density_leaf_center_flat_area	0.668
ann05.01	annuus_ann05.01	Trichomes_density_leaf_center_flat_area	0.452
ann11.01	annuus_ann11.01	Trichomes_density_leaf_center_flat_area	0.488
ann13.01	annuus_ann13.01	Trichomes_density_leaf_center_flat_area	0.469
ann13.02	annuus_ann13.02	Trichomes_density_leaf_center_flat_area	0.277
ann14.01	annuus_ann14.01	Trichomes_density_leaf_center_flat_area	0.452
ann14.02	annuus_ann14.02	Trichomes_density_leaf_center_flat_area	0.921
ann15.01	annuus_ann15.01	Trichomes_density_leaf_center_flat_area	0.609
ann16.01	annuus_ann16.01	Trichomes_density_leaf_center_flat_area	0.117
ann16.02	annuus_ann16.02	Trichomes_density_leaf_center_flat_area	0.871
ann17.01	annuus_ann17.01	Trichomes_density_leaf_center_flat_area	0.81
ann01.01	annuus_ann01.01	Trichomes_density_leaf_center_secondary_veins	0.384
ann05.01	annuus_ann05.01	Trichomes_density_leaf_center_secondary_veins	0.707
ann11.01	annuus_ann11.01	Trichomes_density_leaf_center_secondary_veins	0.53
ann13.01	annuus_ann13.01	Trichomes_density_leaf_center_secondary_veins	0.749
ann13.02	annuus_ann13.02	Trichomes_density_leaf_center_secondary_veins	0.255
ann14.01	annuus_ann14.01	Trichomes_density_leaf_center_secondary_veins	0.548
ann14.02	annuus_ann14.02	Trichomes_density_leaf_center_secondary_veins	0.904
ann15.01	annuus_ann15.01	Trichomes_density_leaf_center_secondary_veins	0.742
ann16.01	annuus_ann16.01	Trichomes_density_leaf_center_secondary_veins	0.43
