name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ANN0801	-0.06292410845664437	-0.013936603337489303	0.02761367742579699	-0.002392184369559219	0.06248597894904989	-0.017648890247219565	0.022446539632209994	0.006391829752790162	-1.6354832164666185e-4	-3.054027419032826e-4	-9.190220767111323e-4	0.0061259276252225384	0.006776331208853994	0.0265638133139276	0.01924449271893954	-0.06889788715332737	-0.024403307488878336	-0.1877557879010766	-0.06218825249166836	-0.02660282237579751
ANN0802	-0.06384298805160482	-0.015085244304347475	0.02696356063655278	-0.0031024208073406733	0.062126244503949046	-0.01762557618689424	0.02259698991927586	0.006337442443806997	-5.488958247355931e-4	7.942135600087848e-4	7.639652812805595e-4	0.006213934840964035	0.005915947471110523	0.027953516572549672	0.019684260029647883	-0.07113675285263288	-0.02553942587083851	-0.18998511896673131	-0.06225711198033407	-0.027951307720136542
ANN0803	-0.06708414145453642	-0.014496262570776512	0.02910550065714474	-0.001485666608964621	0.0670405753248471	-0.01652529177549353	0.02430884374838815	0.00695530047134924	-0.0011995424993913664	-0.0021596389905733245	-0.0010185273837875811	0.0076497310395738285	0.008469951555770214	0.029862031865444366	0.020277712167108573	-0.07816057529381253	-0.0282695026012163	-0.21408391499379897	-0.07447846327661153	-0.033084866004672225
ANN0804	-0.0714747338656076	-0.014498682784151574	0.029276036043443598	9.676415347126626e-4	0.06307936399366895	-0.018916165843701746	0.027972956628392352	0.0071460160667734095	2.8896937420085946e-4	-8.419092541104522e-4	-0.0016335660762731574	0.004203162698016591	0.006615348148079941	0.029272606214292014	0.020440239715773953	-0.0774179262049281	-0.028044349509333866	-0.2102973725138777	-0.07180393106496667	-0.03421445192770016
ANN0805	-0.059730648446439785	-0.01249215253445982	0.026014496093235102	-0.003100048499841914	0.05712146097945	-0.016639769307863414	0.022166987270648385	0.002540733020021373	-5.719075633859635e-4	3.073279648253689e-5	3.5434511923518216e-4	0.0068786258219432714	0.007029675854864647	0.026478903359401194	0.017876942903598318	-0.06377359308501268	-0.021638719380087126	-0.1729166291950774	-0.05657736404136328	-0.02175256479330947
ANN0806	-0.06361655311906181	-0.014666198471741516	0.02805335492926255	-0.002902104563214615	0.06420099958197827	-0.017662704978552875	0.023535921367701444	0.0049839486468390565	-4.0320876830719614e-4	-0.0010982812204281115	-0.0012406373588455474	0.006504683536629344	0.006667761204436183	0.02839149561673604	0.020886790497693705	-0.07247261998036555	-0.025571709545241964	-0.19252426486682214	-0.06519753284955046	-0.0292646444314108
ANN0807	-0.06227372351134618	-0.01431383060200394	0.027038271277530466	-0.004766672457565799	0.06290928189977166	-0.017368359083114765	0.02213842271238439	0.0028867592635021346	-0.0014104161511437196	-0.0012631490338984828	-3.322075329347062e-4	0.005715415259596884	0.007943369285743884	0.028876824530272373	0.019979007097591817	-0.07179803145111356	-0.024616312753584727	-0.18712112743359527	-0.0630722924020336	-0.026039687281296624
ANN0808	-0.06701923834948023	-0.015441765122167318	0.028140002912759067	-0.00468812613060475	0.06531805220445086	-0.01848311633533877	0.024304522252984052	0.0044299043751079474	9.87848136588046e-4	-0.0010721436509482025	-3.2008659725083134e-4	0.0070045887216355395	0.0070458596155630465	0.033049373437240334	0.021287917306113204	-0.07652497032995792	-0.02574858741999854	-0.20229574601354827	-0.06799214047027968	-0.030031274138759733
ANN0809	-0.06670035194932974	-0.014733164107842159	0.028749592441499775	-0.0021148757124988217	0.06255424630732562	-0.01831386659443808	0.025168709959322726	0.005799271012663655	4.74418599959788e-4	-0.0023093273763758184	-0.0013981335187034682	0.003979909145591096	0.007157353557359429	0.03133569863746024	0.0201051433306877	-0.07593614228162598	-0.02660780222374353	-0.20447610075434203	-0.06848787275295869	-0.034479893454500636
ANN0810	-0.06703672570205153	-0.014626032172539596	0.030108556692561315	-0.0016231995570558104	0.06418359364218017	-0.018638533383312148	0.025791528476005694	0.004248980524842811	5.963118796506153e-4	-1.7780884462770453e-4	-2.0368014892217464e-4	0.0057091913628482946	0.008298008012583208	0.031218704346623244	0.021107354739960373	-0.078509786483494	-0.02853443248676959	-0.2071670641085461	-0.07062093074261716	-0.03537269697024639
ANN0811	-0.08098797905145377	-0.02082158283779957	0.021857802803959284	0.008514309252905847	0.08035842540766927	-0.008667802344034775	0.017665604252399294	0.010167803146629368	4.6818618142154775e-4	-0.0032202704321346804	-0.001981300742512478	-0.0018204000510539447	5.420892705088581e-4	0.0018503364055708653	0.009085060310860682	-0.028208873374704842	-0.01416038730555124	-0.07411324910150541	-0.03143461834715787	-0.01848208227166551
