name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ANN0801	-0.06063132729356403	0.024612159310663136	0.021750599019327067	-0.05227641136602663	0.0078288137512158	-0.03437082636764275	-0.0071376265345497285	-0.002643839471895695	-3.889354865956186e-4	0.0011896774059137858	0.011709055138670443	0.0038462612574219545	0.011758987274503781	-0.017815567039954756	-0.0012806682071230598	0.033497394531752114	-0.024098373863512653	-0.011463355178796824	-0.20210061004586807	0.04872539525997619
ANN0802	-0.06054622442308455	0.02428474723043647	0.023154378431752665	-0.050587748542170075	0.008062599018119218	-0.03746909991480399	-0.005886657922403074	-0.0040411764244789455	-0.00375580077810088	1.405098850187905e-4	0.00792472247826019	0.0039003760366804665	0.01562471810959462	-0.02183899417409032	7.537585042831549e-4	0.038435607686004084	-0.02501820507424639	-0.009714215384655996	-0.20634111355816975	0.0479795975133878
ANN0803	-0.061698658613655255	0.02602668396396346	0.022661150222029466	-0.05519752208659097	0.009877792040091829	-0.03763636022091022	-0.006303429216034541	-0.002306309548987509	-0.001533377325894552	0.0016035929205842948	0.008505706320458412	0.005421286155823601	0.017032560866263383	-0.022789406868179214	-0.003554183206788853	0.039026409639080155	-0.025636821868186648	-0.012618747800203438	-0.22552539961673537	0.055552134825751956
ANN0804	-0.06814978451427817	0.02726190810284037	0.02182707021759087	-0.05445805328856593	0.006226349251026513	-0.037771755937726505	-0.008369891137358853	-8.265662515248746e-4	-0.0026432249432770307	6.637363766569972e-4	0.0107946472314444	0.0038468054028929434	0.01253520015764094	-0.02194601159003492	-9.073378247237183e-4	0.040459949093597805	-0.027732486410373493	-0.013465536351913443	-0.23002679824069655	0.055149392184354426
ANN0805	-0.05481392324573235	0.02333745274966468	0.019880260907067272	-0.04706350726560136	0.009915705370410331	-0.03406999094592856	0.0014166025266406706	-0.003150920222643286	-0.0018215988262690259	9.785073821812042e-4	0.005231666551021015	0.004186877655536582	0.015840519542852156	-0.019691539280454896	-0.005016881837325383	0.031192557551767225	-0.02195701445554058	-0.011381471895801274	-0.1825071837837383	0.042144229372554534
ANN0806	-0.056408221791734145	0.022744092207121598	0.021891000738065276	-0.04819376892834924	0.00985217618794873	-0.035607436420888025	-0.004793982688567559	-0.0032725950199927406	-0.0020583283198041106	0.0012468391585353763	0.0077883613051761	0.00385862428247408	0.015022902116771606	-0.0202121338059595	-0.0010281237645989457	0.03432853747824242	-0.026558492490931743	-0.007914246643361133	-0.19282795008911557	0.04707565093200855
ANN0807	-0.060225702501038814	0.025923069172585952	0.019557919527717817	-0.04963471242774413	0.008303715707591326	-0.03478017903312129	-0.003095385638700909	-0.005617844204390421	-0.0029416713881264753	1.5710440958128429e-4	0.007191403427293216	0.004352412808889681	0.01724222760963194	-0.019956809190110066	-7.832299852862146e-4	0.03320933910128726	-0.023733367475938263	-0.010829188434718225	-0.1940146897884173	0.045255959078585165
ANN0808	-0.06193220032993574	0.023551543995088745	0.01910359967825618	-0.0502707638462964	0.008650763730589789	-0.036857949711079946	-0.004584645911644869	-0.006613153642091818	-0.003090394765177874	9.83607209026324e-4	0.009834938105325432	0.0037664701936128853	0.017593171421945632	-0.023076194733273055	6.609676004911905e-4	0.03954638837222965	-0.02112727460303834	-0.013551774279934186	-0.2054288842947417	0.051295214037813605
ANN0809	-0.06360225938170756	0.024637508671449565	0.02226089902776423	-0.05149444591599905	0.00882817085159295	-0.0370411559131794	-0.009349076901321522	-0.004539737000828848	-0.0037117446571915355	-7.08646641055612e-4	0.01330776248456703	0.005212330231847808	0.011387864498926016	-0.02347695157996832	-0.001174255263492862	0.03743252312265383	-0.026659840697678884	-0.015146705604156166	-0.20987112502306654	0.047046933318584686
ANN0810	-0.0621406849601413	0.02453315665954994	0.02327883871912384	-0.05015454948206812	0.010664017624239804	-0.03888221572257346	-0.0010578992627434652	-0.005583744763132473	-0.003592901712365702	3.6882242690444516e-4	0.00880000713932624	0.003910648629854148	0.01704999463994223	-0.0204146118576378	4.4877951296998426e-4	0.03653912767823215	-0.025293879203279315	-0.009308964703471496	-0.21932673608667427	0.053259115449223605
ANN0811	-0.07683145970007707	0.032701076974648705	0.015601427318173051	-0.07444788289238845	0.009965063738894057	-0.029440358327224116	-0.010721455493401363	0.004120640854740028	-5.4073528653269e-4	8.65856337529346e-5	0.009336052131609065	-2.987420186526856e-4	-0.002754715618043832	-0.0048329026537734625	0.00687871984359963	0.01560127720658414	-0.01837831108457088	-0.003811828115571515	-0.08900021012488667	0.021086575782860537
ANN0812	-0.08256310161957223	0.03599923091731462	0.016444329905876152	-0.08012665521644924	0.010907994744784131	-0.029949538897395073	-0.013440293547333641	0.004115345194155993	-0.002487833232325468	1.2066383583138427e-5	0.007277181499412306	4.0735174061526597e-4	-0.004711404310780041	-0.005846709714264213	0.005876325006333841	0.012567341420882502	-0.015951874809768004	-0.0035503065300794916	-0.093545200093121	0.02269211654594752
ANN0813	-0.08712936027665966	0.0353813133163631	0.01926274388462412	-0.08408236889926218	0.010559109386956774	-0.03386561501188618	-0.01226076942265978	0.004160568181049741	5.245621468475382e-4	-9.485770809891607e-4	0.009255915256963863	-6.910387521894025e-4	-0.004244983197466408	-0.0056868525894298045	0.006816652353728728	0.016003174892849165	-0.019810057163927815	-0.0027650818093031006	-0.10654301262708316	0.027652525264450563
ANN0814	-0.07668212674408459	0.03418366515706253	0.013422224291659107	-0.059684318029473785	0.006543851281333512	-0.02747607150682934	-0.009566985896041609	0.0019473269228081657	-0.002621847665280897	-7.498048129726523e-4	0.007617271838356645	-8.361108573633075e-4	0.0021270604013741185	-0.007478957029118328	0.004546651187902842	0.015039239210221584	-0.00813309168161004	-0.009371759369803612	-0.08359282208167135	0.015379171062272773
