name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
ANN0801	-0.06051709505513938	0.030524669535969006	0.018566272748019925	-0.05752051978511844	0.007172298641751454	0.04057389234766514	-0.0020082196171905507	-0.006111809323646419	-0.007482616780865039	-0.002380452371690918	-0.0035341240932388845	0.005496022995293024	0.013636253980275839	0.019632602787595387	0.018405020679740564	-0.043024952390548	-0.005541050758904183	-0.17530458134238894	-0.12174362889489075	-0.011498623344294476
ANN0802	-0.061307064953470936	0.03222686668988595	0.0188165667752985	-0.0559197457576695	0.006187944193517973	0.04041164730807631	-0.001425309518802838	-0.006058106508057069	-0.007598075049776165	-0.003087577078831584	-0.001396379514261234	0.006177362498509174	0.016187670845169144	0.01870710034232065	0.01706350862406939	-0.04586970297899212	-0.005188575622756781	-0.17279556907483523	-0.11942595186629584	-0.00916490553667058
ANN0803	-0.0632302832179952	0.029910310121919893	0.01879993192907769	-0.06016088012516575	0.009562258525126852	0.04098637352716429	-0.002456204158414468	-0.008919368234008549	-0.0089031062046087	-0.0013490014795096137	-0.005374333169176456	0.00796652850188647	0.016853470537762087	0.0206109570428403	0.019125511251631366	-0.046007817171142516	-0.007303434422521861	-0.1946344283269409	-0.13978272174003567	-0.015037343971262718
ANN0804	-0.0678091010348331	0.0312938894201943	0.020646696853534242	-0.05750630261101263	0.006092892707750415	0.04255051730377981	1.525791613910543e-4	-0.008953046786305326	-0.007677014710427225	5.0203948867358784e-5	-0.0041530075469272945	0.0048963017052507975	0.013428196603204219	0.02197002858251543	0.01955825145446963	-0.04584681921933138	-0.0071428298022534215	-0.1926839224530355	-0.13687706801212962	-0.01353909342579327
ANN0805	-0.05670875354553413	0.02824075133507927	0.016974176366479944	-0.05153198215921309	0.00612682431911713	0.03724740447965126	-4.158357763801091e-4	-0.0015650747407489913	-0.005681165927684809	-0.001625673722674587	-0.002953102965549413	0.005743022848229359	0.014606410995867987	0.016918670402753404	0.01796913543531601	-0.03845803539879767	-0.003904783373558527	-0.15845418593480273	-0.11041109134076374	-0.009843583689824485
ANN0806	-0.061014073612665684	0.029675099303834118	0.017901713748966624	-0.0579109657705475	0.007572299234979555	0.04242874170083048	-0.0024797981061049005	-0.005944997225648863	-0.007854146651909005	-1.8520997853322492e-4	-0.004283849768801888	0.0042674261957444705	0.01567146493892098	0.020664748788902988	0.01695267416858828	-0.04240206494392583	-0.0044672862763475195	-0.17794276482379703	-0.12477192999119238	-0.013412963335830568
ANN0807	-0.05989753316977524	0.030066603876782685	0.01808837082166541	-0.056523702933612266	0.00809455867195593	0.042284263380807	-0.003837905490703425	-0.004603844991323092	-0.008944681181967073	-0.0020298927688277876	-0.0025716364074263197	0.0058727484644989225	0.016646069697519437	0.019770042104127722	0.01710845456031684	-0.04413826418135963	-0.006099305545397557	-0.17841738601920498	-0.12529728942745783	-0.011452121665871753
ANN0808	-0.06245250195628253	0.03135774532559424	0.018433713091626655	-0.05795853613269315	0.00908331708533719	0.04422571848538275	-0.0054457142450876255	-0.004576765999941226	-0.00755420611047498	-0.0028936169460598137	-0.0025644055618665083	0.007152251916381361	0.017928020603484182	0.0229293759260092	0.021181931722745982	-0.04965284872845173	-0.007626463216659897	-0.18536057161836977	-0.1280421873810826	-0.01305820756833665
ANN0809	-0.06339456559313605	0.029360074584826173	0.01974699065352261	-0.056161147322557926	0.008229278508497133	0.04286183386116876	-0.0031094059110845277	-0.00855525508624106	-0.009738415620198084	-0.0014558951012997748	-0.0032603036962202308	0.0061160886582547445	0.016143185392924655	0.021931512448963936	0.01860581785198301	-0.0440445485098411	-0.008202970164476414	-0.19032394746809306	-0.13264096665518227	-0.010361241393990741
ANN0810	-0.06551083577608938	0.03248539258892952	0.021213923694357595	-0.05951741484551695	0.007538653492539732	0.04399522450715293	-0.0010007478355848337	-0.005816870816098408	-0.00862600522562822	-0.0014397916413412834	-0.003599857514228026	0.006704121344982175	0.016632018004254925	0.02129382451470878	0.019221541540628013	-0.048587630390325404	-0.006201272563134417	-0.19504974879471954	-0.13527047897537908	-0.011100949334975187
