FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	LIR	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0559	PET0559	6.854331529	39.70711288	5.792995672	20.66666667	3.295488654	4.699659001	1.338136571	12.43326588	3.791636798	3.51490593	307.1769	4112.0635	46.1433	61.3833	105.3253	108.6273	108.6284	1.769673511	1.7697	2.2826	2.3063	0.2807	1.011	0.2777	0.1075	0.2258	0.332	0.1484	44.686	51.8649	0.0015	34.6832	154.4967	0.0358	0.0065	0.4655	0.1815	1.6383	0.7298	0.7051	0.7972	0.8828	1.9825	0.4356	15.7871	22	13	41	0.590909091	0.081868093	0.133865477	9.923913043	3.702959722	3.51991401	2.884085024	3.440922497	16.8	67.5	NA	36.6	22.3	1.4	15
PET0560	PET0560	6.372527695	39.38952774	6.181146575	27.66666667	3.19185453	4.42643612	1.382673731	11.98713877	3.767120087	3.215524709	321.8119	4568.1701	53.1707	61.722	110.49	117.2633	118.6536	1.922387479	1.8999	2.078	2.1694	0.3169	0.6895	0.4596	0.0809	0.2189	0.35	0.1445	64.5622	50.7954	0.0016	104.4168	128.5332	0.0005	0.035	0.3173	0.2444	1.1241	0.6642	0.672	0.7699	0.8692	1.7416	0.3879	16.216	22	14	44	0.636363636	0.096165544	0.133747114	10.39714377	3.07808957	3.645052888	3.107037997	3.346320123	14.8	90.1	45.5	24	21.1	3.6	14
PET0561	PET0561	6.352521428	40.04596769	6.303948463	19	3.124231926	5.280131822	1.108183845	13.29594224	4.230604793	4.867554789	297.008	3526.6524	39.0313	55.2027	97.8747	103.2087	102.6409	1.859345648	1.8696	2.5076	2.3744	0.3145	1.2039	0.2613	0.1084	0.2511	0.346	0.0883	62.8856	45.003	0.0014	164.7642	150.6768	0	0	0.4678	0.1018	1.6794	0.7051	0.5074	0.5717	0.8536	1.4645	0.5837	18.3954	22	13	41	0.590909091	0.1839088	0.204530758	14.79530965	4.038738512	5.429499634	3.936310382	3.758674549	18.2	93.6	NA	43.5	25.5	2.2	14
PET0562	PET0562	6.238862129	40.29703485	6.459035961	18.33333333	2.702350237	4.205943286	1.302108743	10.72382128	3.967925244	3.248059558	307.8173	4542.0913	54.2713	68.326	95.4193	104.8173	109.6293	1.60450341	1.5341	1.7582	2.0444	0.2559	1.0593	0.2415	0.1086	0.1834	0.3584	0	59.8404	45.5604	0	217.4477	186.563	0.0041	0.0063	0.5227	0.2759	1.7287	0.7089	0.7292	0.8509	0.8966	1.7148	0.4119	12.4024	29	20	49	0.689655172	0.134161997	0.149987538	11.42579753	3.063960169	4.327576695	2.770644137	4.123877684	24.6	108.1	34.5	32.8	25.9	4.4	20
PET0563	PET0563	5.562829283	40.08813662	7.206429422	28.5	3.19065492	4.947858341	1.282643702	13.49251544	4.21321585	3.891861286	312.4347	4413.1883	46.482	60.1133	108.6273	116.332	118.6955	1.974529763	1.9352	2.337	2.4399	0.2641	1.0528	0.2509	0.0994	0.2414	0.3484	0.1049	49.8493	49.4403	0.001	136.9777	158.3784	0.0029	0.0841	0.4673	0.2039	1.688	0.7562	0.7458	0.892	0.8873	2.3379	0.4278	18.2078	27	20	49	0.740740741	0.270145038	0.259307228	10.54739918	3.659285608	4.139620817	2.268157547	4.650205712	29.6	103.7	37	33.1	25	1	20
PET0564	PET0564	6.632712144	38.68786934	5.832888343	21.33333333	3.168608761	4.527476699	1.27605651	12.09754318	3.820377658	3.546567154	311.3006	4279.4825	46.6513	58.42	113.3687	117.0093	115.7175	1.98078569	2.0029	2.4301	2.5021	0.4138	0.8403	0.4924	0.1013	0.2608	0.3319	0.1169	37.1349	55.9525	0.0051	144.7613	121.386	0	0	0.3826	0.253	1.4102	0.7062	0.782	0.903	0.886	2.4107	0.3635	19.7004	18	13	35	0.722222222	0.081570738	0.108415587	11.15853659	3.679224138	3.8279	3.502736585	3.185662499	15	75.6	NA	38.3	23	2.5	13
PET0565	PET0565	5.935590461	40.56411371	6.834048605	19	2.890426752	4.506170335	1.567777695	12.03293738	4.179449456	2.878668007	327.1053	4409.2528	48.8527	65.6167	105.2407	107.7807	110.9242	1.69048733	1.6426	2.1542	2.2649	0.2652	1.1473	0.2311	0.1094	0.2093	0.3434	0.1652	55.7216	39.1496	0.0017	15.5571	168.7356	0.0119	0.0368	0.5035	0.1164	1.7522	0.7266	0.6462	0.7307	0.8801	1.644	0.4752	14.2904	25	17	45	0.68	0.200854124	0.21764553	10.86724304	3.098517156	3.986290991	2.894661063	3.754236786	22.5	89	23	36	25.3	2.2	12
PET0566	PET0566	5.841378896	40.41951149	6.919515445	21.33333333	3.068914605	4.824162728	1.699658055	12.70483822	4.143573264	2.840981058	384.4907	4883.6175	42.8413	60.1133	134.366	142.5787	139.03	2.312799331	2.3718	3.1364	3.1758	0.332	0.587	0.5657	0.0968	0.2941	0.2898	0	41.2362	30.2106	0	102.8754	84.7405	0.0078	0.0062	0.2912	0.2866	1.6022	0.7095	0.3387	0.4481	0.8108	1.0179	0.632	24.9589	27	22	49	0.814814815	0.100692393	0.137891166	12.43838069	2.968436796	4.427996548	3.582387593	3.472092387	22.7	123.3	38.3	34.2	26.3	2.7	23
PET0568	PET0568	6.8987566	41.30532532	5.987357972	19.33333333	3.62152876	6.144602714	1.763952362	15.3693334	4.241120545	3.484946672	276.2273	3619.8852	43.8573	56.9807	93.8107	97.028	98.1786	1.723014986	1.7028	2.139	2.1756	0.3591	1.1178	0.3212	0.099	0.2138	0.3711	0	66.336	51.5118	0	213.4937	167.0792	0.0406	0.0332	0.5533	0.1131	1.5445	0.767	0.7738	0.9004	0.894	2.1401	0.4295	15.2402	46	21	64	0.456521739	0.076655211	0.107134376	14.40789474	3.436131093	5.439395322	3.529104094	4.082592736	18.1	124.2	48	35.5	30.8	4.4	20
PET0569N	PET0569N	6.407700562	40.634245	6.341470643	20	2.855648879	4.396895134	1.522203314	11.42482558	4.006661482	2.907963139	346.236	5274.3981	49.784	64.6007	117.6867	119.888	126.0532	1.951266782	1.8558	2.3639	2.4331	0.3367	1.1786	0.2857	0.0911	0.2313	0.4226	0.0938	44.4742	51.381	0.0023	191.4271	0.6794	0.002	0.037	0.5133	0.1124	1.7084	0.75	0.7053	0.7834	0.884	2.062	0.4844	17.6447	25	17	49	0.68	0.057251264	0.037360581	11.58019203	2.909532343	4.007375237	3.56544156	3.247898427	15.8	65.8	30.5	NA	NA	NA	NA
