FID	IID	Total_N	Total_C	C_N_ratio	Ligules_number	Disk_diameter	Petal_length	Petal_width	Flower_head_diameter	Flower_FHDD_ratio	Petal_LW_ratio	Leaf_Perimeter	Leaf_Area	Leaf_Width_mid-height	Leaf_Maximum_width	Leaf_Height_Mid-width	Leaf_Maximum_height	Leaf_Curved_height	Leaf_CurvedHeight_MaxWidth	Leaf_Fruit_shape_index_external_I	Leaf_Fruit_shape_index_external_II	Leaf_Curved_fruit_shape_index	Leaf_Proximal_fruit_blockiness	Leaf_Distal_fruit_blockiness	Leaf_Fruit_shape_triangle	Leaf_Ellipsoid	Leaf_Circular	Leaf_Rectangular	Leaf_Shoulder_height	Leaf_Proximal_angle_micro	Leaf_Proximal_angle_macro	Leaf_Proximal_indentation_area	Leaf_Distal_angle_micro	Leaf_Distal_angle_macro	Leaf_Distal_indentation_area	Leaf_Distal_end_protrusion	Leaf_Obovoid	Leaf_V_asymmetry	Leaf_H_asymmetry_ob	Leaf_Width_widest_pos	Leaf_Eccentricity	Leaf_Proximal_eccentricity	Leaf_Distal_eccentricity	Leaf_Fruit_shape_index_internal	Leaf_Eccentricity_area_index	Leaf_Lobedness_degree	Days_to_budding	TLN	DTF	LIR	Guides_3_petals	Guides_individual_petal	Flower_head_diamater_from_UV_pictures	Petal_LW_ratio_UV_pictures	Average_length_3_petals_UV_pictures	Disk_diameter_UV_pictures	Flower_FHDD_ratio_UV_pictures	Stem_diamater_at_flowering	Plant_height_at_flowering	Peduncle_lenght_of_first_flower	Stem_diameter_final_before_1st_node	Stem_diameter_final_after_5th_node	Distance_of_first_branching_from_ground	Primary_branches
PET0581	PET0581	6.144043374	39.76020959	6.471342595	20	2.1324998	3.392891351	1.273444244	8.886473384	3.761386237	2.225143728	299.0615	4473.181	50.7153	61.6373	106.0027	108.2887	109.274	1.772855073	1.7569	2.0902	2.1561	0.394	1.0033	0.3927	0.0858	0.2086	0.3883	0	84.0781	63.1685	0	138.9796	152.2943	0.0016	0.0407	0.4155	0.1297	1.3013	0.7532	0.7183	0.8088	0.887	1.8659	0.4315	14.9833	22	12	41	0.545454545	0.219065028	0.220651441	10.81397855	2.570127604	3.703069786	3.407838974	3.173265706	14.6	71.6	NA	26.7	23.9	3.3	13
PET0582	PET0582	6.207126713	40.866086	6.583736387	20.33333333	3.001617726	4.716145044	1.553623526	12.10440948	4.051742736	3.039006433	343.9612	5135.022	53.7633	70.866	113.9613	116.2473	116.8367	1.648698953	1.6404	2.1197	2.1802	0.2504	1.0693	0.2342	0.1018	0.2035	0.341	0.1102	61.442	53.8346	0.0015	142.6461	144.8058	0.0027	0.0205	0.437	0.0947	1.773	0.6825	0.7522	0.8761	0.8658	1.6278	0.2826	13.7877	38	15	58	0.394736842	0.205725431	0.272310463	11.18233859	2.731241123	3.920667666	3.341003257	3.347000205	18.3	104.6	26.5	26.3	18	10.7	14
PET0583	PET0583	6.709324248	39.25284728	5.850491917	17.33333333	2.999911845	5.229429008	1.772646219	13.42614504	4.496796788	3.108713695	307.2007	4141.2319	49.1913	58.42	102.5313	110.49	110.7349	1.895496405	1.8913	2.0843	2.2281	0.3787	0.5404	0.7006	0.0719	0.2127	0.3759	0	93.1689	73.5534	0	88.8941	107.4535	0.0021	0.1424	0.2432	0.1675	0.9158	0.6758	0.5399	0.6471	0.8513	1.3435	0.4985	15.8344	18	15	42	0.833333333	0.245134753	0.251082587	11.025	2.261741504	3.909465278	3.206069444	3.438790142	15.8	53.1	NA	46	31.3	2.7	14
PET0584	PET0584	6.172732722	41.2735532	6.686431288	19	3.210341023	6.023493515	1.375515672	15.27827739	4.796275026	4.39242469	306.6639	4314.6294	47.752	56.642	106.0873	109.3047	111.4277	1.967227499	1.9297	2.2216	2.3252	0.3848	0.9965	0.3861	0.0773	0.2266	0.4202	0	73.1134	58.8627	0	14.5525	143.3289	0.0027	0.0268	0.3821	0.103	1.2095	0.6557	0.738	0.841	0.8864	2.0517	0.4236	17.3353	18	14	39	0.777777778	0.174019986	0.218368576	12.72619048	5.51696493	4.817257672	3.091675132	4.116276753	13.1	71.7	NA	28.9	27.5	3.2	13
PET0586	PET0586	6.20027986	38.95425585	6.282660901	20.5	2.539119073	4.472524325	1.436787052	11.13355312	4.663531413	3.266682871	322.7165	4565.0446	47.4133	59.944	120.65	122.0893	120.8297	2.015709662	2.0367	2.5446	2.3955	0.2625	0.9536	0.2753	0.101	0.2557	0.3356	0.137	57.1032	38.1951	0.0015	130.8692	129.524	0.0024	0.074	0.4347	0.1475	1.6636	0.7323	0.7675	0.8695	0.8919	2.4688	0.3889	19.6727	10	15	39	1.5	0.145803943	0.171205421	11.01219512	2.829203646	4.320544173	2.371106775	4.644326961	19	101	NA	37	21	3.5	14
PET0587	PET0587	5.835431144	40.4379123	6.929721438	24	3.501089356	5.304315309	1.387955526	13.87770816	4.043746106	3.866938639	355.2223	5625.8884	58.5047	70.9507	122.0047	125.0527	128.5846	1.81230911	1.7625	2.0854	2.1553	0.314	0.8538	0.3678	0.0875	0.1989	0.3484	0.1447	70.6126	47.5916	0.0019	60.0636	127.7365	0.0017	0.0314	0.371	0.1898	1.4725	0.6714	0.6694	0.7725	0.8814	1.686	0.4206	14.411	22	15	43	0.681818182	0.151921335	0.192638831	12.22425902	3.852019279	4.489532524	3.245193971	3.766880849	21.9	76.8	NA	42	32	2.1	17
PET0588	PET0588	5.997477441	41.75572091	6.962213918	23.25	3.242873673	5.117004607	1.398244816	13.34438744	4.166063885	3.779982556	296.3889	3890.6087	53.848	63.1613	87.376	90.2547	90.6141	1.434645899	1.429	1.6226	1.5218	0.3428	0.9575	0.358	0.0861	0.1422	0.407	0	91.8142	70.7064	0	339.2583	2.2145	0.0315	0.0209	0.3349	0.1859	1.0924	0.6475	0.6648	0.8119	0.8176	1.1569	0.373	9.4364	29	11	51	0.379310345	0.210802045	0.209016393	11.27011543	3.253333333	4.042598569	3.184918292	3.538588559	14.3	98.6	43	16	13.1	7	10
PET0589	PET0589	6.426141634	39.04964833	6.076686534	17.66666667	3.262107333	5.220634083	1.547487503	13.07947132	4.013801571	3.380148568	292.2536	3924.7162	45.466	57.7427	98.4673	109.22	107.6846	1.864904135	1.8915	2.1657	2.0414	0.2812	0.933	0.3014	0.0978	0.2341	0.3512	0.0725	52.5872	47.9544	0.0014	23.7465	136.0526	0.0183	0.0304	0.3931	0.207	1.3984	0.7089	0.6656	0.8133	0.8827	2.0141	0.4757	17.2779	14	14	38	1	0.191816162	0.23155419	13.7625	2.780865261	5.074517778	3.613464444	3.808671764	14.2	64.7	NA	34.9	19.9	NA	13
PET0590	PET0590	6.8301517	39.5201813	5.786135218	18	3.47185898	5.101148786	1.40372795	13.41223547	4.097600825	3.639043795	307.8486	3994.5296	43.2647	61.214	102.108	105.0713	107.3304	1.75336361	1.7165	2.3601	1.9583	0.2524	1.3562	0.1861	0.1188	0.2308	0.3661	0.1334	56.3925	40.8767	0.0013	221.306	3.7817	0.1104	0.0114	0.6447	0.0456	1.9918	0.784	0.7774	0.8893	0.8885	2.3627	0.4456	16.2428	14	14	35	1	0.217708942	0.238051717	10.91846285	3.906220068	3.744367275	3.429728298	3.183477494	16.4	91.1	NA	31.9	20	4.5	9
PET0591	PET0591	6.527299953	40.7478089	6.24267449	19	2.83274428	3.827665357	1.440994598	10.20930649	3.642868391	2.656156244	260.3627	3174.4453	46.3127	57.404	85.0053	86.36	89.2542	1.554842868	1.5044	1.8355	1.7798	0.3218	0.8812	0.3651	0.0903	0.1707	0.3515	0.1549	66.7912	54.9291	0.003	163.0196	143.1317	0.0019	0.0279	0.4072	0.1169	1.1008	0.7143	0.685	0.7612	0.8791	1.524	0.433	11.1412	18	12	38	0.666666667	0.109176462	0.129912107	9.748863636	2.566939795	3.328864053	3.09113553	3.15381307	14.4	70.3	NA	32	17.4	0.5	12
PET0592	PET0592	6.114399231	39.08275902	6.391921355	21	3.22535201	3.470534233	1.259399634	9.951974669	3.08375356	2.77457502	290.7615	3931.6122	56.0493	65.532	91.8633	99.4833	103.1383	1.573861625	1.5181	1.639	1.7082	0.2674	0.6269	0.4265	0.0937	0.1621	0.3432	0.059	156.6773	88.7881	0.0064	143.7141	122.1473	0.0058	0.5716	0.3277	0.2472	1.1018	0.6979	0.7376	0.8756	0.8864	1.6402	0.3452	10.8253	27	22	51	0.814814815	0.091807168	0.100400314	10.28204166	2.531537419	3.356491469	3.569058719	2.880883299	18.3	92.9	35	34.2	26.6	0.6	22
PET0593	PET0593	6.579379536	40.5943166	6.169930823	20.5	3.278353939	3.83230789	1.379294638	12.05589315	3.458359435	2.755011432	314.0409	4380.7439	47.3287	66.294	98.1287	107.696	107.8504	1.626850092	1.6245	2.0733	2.1737	0.2755	1.2558	0.2194	0.119	0.2079	0.3349	0.1754	57.4035	48.3875	0.0017	211.3563	203.7757	0.3127	0.0233	0.5636	0.1428	1.86	0.7579	0.7286	0.8752	0.8887	2.0762	0.4692	14.3018	11	18	32	1.636363636	0.242305295	0.29051692	8.952994076	2.481217342	2.933687606	3.085618864	2.901522991	14.4	47.1	NA	37.2	16.5	0	13
PET0595	PET0595	6.510322775	38.36577033	5.893067312	21.33333333	2.956732558	4.236787407	1.180952418	11.23091098	3.587803739	3.63142693	258.6888	2890.4315	42.5027	48.5987	92.202	94.1493	95.1873	1.958638811	1.9373	2.1693	2.0913	0.2749	0.7251	0.3791	0.0914	0.2289	0.349	0.0791	62.3271	49.2176	0.0036	105.7636	125.101	0.003	0.1286	0.358	0.0688	1.0093	0.6978	0.7831	0.8914	0.8869	2.175	0.3222	16.7651	14	14	33	1	0.166652716	0.227809543	11.01162791	3.23204863	3.916424806	3.178778295	3.464106926	14.9	55.3	NA	42.6	21.2	2.2	12
PET0596	PET0596	6.971834238	37.77430728	5.418130436	21	2.563339512	4.565383082	1.642702148	10.1027398	4.566192495	2.771991778	267.3273	3207.0187	42.3333	51.4773	93.6413	100.838	101.1178	1.964318253	1.9589	2.212	2.3464	0.286	0.662	0.432	0.0892	0.2282	0.347	0	61.5717	57.8901	0	101.6084	107.0277	0.0025	0.0868	0.3125	0.1198	0.9646	0.639	0.7429	0.9085	0.9057	2.21	0.3792	16.8441	14	14	33	1	0.166087939	0.238402157	9.920634921	2.751985632	3.488697619	2.943239683	3.370651388	13.1	57.6	NA	22.6	23	1	10
PET0597	PET0597	5.80454071	41.07801182	7.076875478	20.66666667	3.498495399	4.766496953	1.641159869	12.60005297	3.657329928	2.906811774	322.9031	3540.932	45.5507	60.0287	83.9047	91.8633	101.9561	1.698455905	1.5303	1.842	2.0585	0.2546	1.1859	0.2147	0.1067	0.1825	0.3672	0	64.1514	64.3093	0	322.6589	167.7535	0.0022	0.0236	0.4479	0.1549	1.4285	0.6472	0.7325	0.8612	0.9023	1.5328	0.346	12.0859	25	19	46	0.76	0.15859175	0.189978903	11.14111498	2.724137931	3.83650899	3.468097003	3.212457717	27.6	105.4	56	53	31.2	1.9	18
PET0598	PET0598	6.105756056	40.85755644	6.691645729	21	4.514509689	4.703604569	1.730782337	13.06837096	2.894776002	2.723388695	333.7103	5044.7856	55.9647	75.5227	98.4673	104.8173	105.8213	1.401185339	1.3879	1.7595	1.676	0.2769	1.1649	0.2377	0.1074	0.1644	0.3623	0	67.9377	65.4175	0	7.9597	170.1963	0.0214	0.1443	0.5077	0.1486	1.6825	0.7617	0.7259	0.8544	0.871	1.5377	0.4147	10.3644	27	22	47	0.814814815	0.167203208	0.200265683	12.36446477	2.835510256	4.038256417	4.287951936	2.883536232	33.7	132.7	48	40	21.8	3.2	22
PET0599	PET0599	6.786981496	40.81874499	6.014270853	18.66666667	3.306080142	5.093716613	1.667663277	13.33540028	4.028842129	3.080867594	343.891	4996.3986	52.7473	69.342	110.744	120.0573	122.1451	1.761487987	1.7314	2.0995	2.2721	0.2311	1.0305	0.2243	0.1086	0.2242	0.31	0.1589	58.9273	44.7275	0.001	154.2241	151.6735	0.0047	0.0858	0.4447	0.2021	1.9277	0.7055	0.5067	0.6029	0.8599	1.3102	0.5566	15.5693	18	12	37	0.666666667	0.178289786	0.239950263	12.05	2.78402942	4.114696111	3.820607778	3.153948456	1.91	89.2	NA	41.1	22	3.2	NA
PET0600	PET0600	6.044963192	41.36092582	6.842213013	20.66666667	3.722379862	5.741385797	1.555410612	14.96709018	4.028880197	3.689429978	320.9987	4999.861	55.5413	67.2253	110.998	112.4373	115.1831	1.713389156	1.6725	1.9985	2.0062	0.3613	0.9726	0.3715	0.0856	0.1994	0.3758	0	75.5276	61.3752	0	164.0892	156.7221	0.0221	0.1285	0.4417	0.0966	1.4442	0.7111	0.7717	0.8745	0.8881	1.9321	0.3889	13.9217	22	15	42	0.681818182	0.10857539	0.129996902	13.08449883	4.505004043	4.4924713	4.099556235	3.191686632	20.2	78.1	46	42.8	22.9	1.6	17
PET0602	PET0602	6.595432924	39.15739401	5.937046811	21.5	3.179249445	4.016323262	1.626594683	11.20673296	3.528956022	2.478145979	335.7197	5452.5052	55.88	66.294	123.3593	125.73	128.8764	1.944013033	1.8966	2.2076	2.2319	0.2636	0.8803	0.2995	0.0842	0.2256	0.3735	0.0933	51.6338	58.7501	0.0006	142.9527	135.9331	0	0	0.3666	0.1284	1.424	0.6364	0.7844	0.9016	0.8852	2.2045	0.3654	16.7083	22	19	50	0.863636364	0.165272443	0.217257072	10.17767199	2.757276874	3.397108258	3.383455474	3.00807032	24.1	74.7	17	51.1	32.4	4.3	18
PET0603	PET0603	6.879972892	39.89632177	5.798906827	19.66666667	2.701823598	3.027634945	1.550347684	8.875921417	3.159736166	1.959249351	285.1885	3495.5916	40.5553	51.308	99.7373	102.5313	106.3449	2.072676776	1.9983	2.4593	2.5449	0.2777	1.119	0.2481	0.0943	0.2431	0.3897	0.166	53.5205	47.5928	0.0011	196.7423	8.2745	0.0412	0.0169	0.523	0.1505	1.5699	0.6821	0.7785	0.9032	0.8904	2.466	0.4204	19.3839	14	13	35	0.928571429	0.214134467	0.216457368	9.243902439	2.205019209	2.936842276	3.370217886	2.74282042	11.4	56.7	NA	30.2	27.1	3	14
PET0604	PET0604	7.402666276	38.87267995	5.251172821	17	2.604618939	3.620990596	1.535405622	10.68054638	3.918757764	2.34547277	274.1833	3756.3724	43.18	52.9167	98.552	101.7693	104.0738	1.966747737	1.9232	2.2824	2.4055	0.3569	1.0569	0.3377	0.0822	0.2338	0.4216	0	59.574	60.2364	0	188.4465	157.6923	0.025	0.0397	0.4958	0.1327	1.3094	0.7654	0.7744	0.9127	0.8934	2.2794	0.4313	18.2665	14	13	33	0.928571429	0.097839794	0.152555571	10.81081081	2.681560198	3.554652252	3.701506306	2.920651734	10.2	57.3	NA	29.6	19	1.7	11
PET0605	PET0605	7.243091519	38.32496716	5.291244361	20.5	2.443381444	3.390945319	1.136292662	8.598237557	3.860576251	3.005103779	227.1487	2503.9233	38.608	47.0747	80.772	81.6187	81.6787	1.735087	1.7338	2.0921	1.8532	0.3575	0.886	0.4035	0.0804	0.2005	0.3628	0	76.6798	63.5631	0	1.8771	131.1775	0.0106	0.0148	0.3681	0.0903	0.9241	0.6777	0.6189	0.6979	0.8588	1.5051	0.4693	14.214	18	11	33	0.611111111	0.182346906	0.213018948	9.192307692	2.648818982	3.031353561	3.12960057	2.937214346	10.3	36.8	NA	32.9	13.2	5.3	11
PET0606	PET0606	7.124810956	39.60665041	5.558975622	17.33333333	3.175503801	3.94037109	1.347524333	10.79758962	3.250471721	2.938479567	227.339	2367.0347	35.56	39.4547	84.6667	88.138	88.0313	2.231199325	2.2339	2.381	2.4264	0.3881	0.631	0.6151	0.0727	0.2546	0.3937	0	82.2933	58.8333	0	93.9342	98.7019	0	0	0.2824	0.0746	0.6638	0.6723	0.6923	0.8027	0.8834	2.0809	0.4075	21.2613	18	12	36	0.666666667	0.17112869	0.170050761	9.076190476	3.366413616	3.168481429	2.739227619	3.313412297	10.6	42.7	NA	37.9	21.1	3.7	14
PET0607	PET0607	6.765020679	38.49419349	5.690181201	15.66666667	2.333105239	4.247039826	1.347198898	10.65148733	4.606730296	3.205248502	303.5827	3787.9853	39.37	59.0973	106.0027	107.3573	111.8263	1.892240424	1.8166	2.6925	2.5111	0.2688	1.314	0.2046	0.1111	0.2422	0.3301	0	50.9659	44.5105	0	314.1663	170.4059	0.0047	0.0129	0.5759	0.1231	2.0006	0.8067	0.7766	0.8897	0.8716	2.5361	0.4325	17.893	29	14	51	0.482758621	0.139077451	0.180206754	10.96764927	3.072581994	4.161838353	2.643972567	4.148170601	10.8	48.9	23.5	28.6	15.6	11.5	12
