name	region	color
ARG0176	3a	#FFFF33
ARG0177	3a	#FFFF33
ARG0178	3a	#FFFF33
ARG0179	3a	#FFFF33
ARG0180	3a	#FFFF33
ARG0181	3a	#FFFF33
ARG0182	3a	#FFFF33
ARG0183	3a	#FFFF33
ARG0184	3a	#FFFF33
ARG0185	3a	#FFFF33
ARG0186	3a	#FFFF33
ARG0187	3a	#FFFF33
ARG0188	3a	#FFFF33
ARG0189	3a	#FFFF33
ARG0190	3a	#FFFF33
ARG0191	3a	#FF7F00
ARG0192	3a	#FFFF33
ARG0193N	3a	#FFFF33
ARG0194	3a	#FFFF33
ARG0195	3a	#FFFF33
ARG0196	3a	#FFFF33
ARG0197	3a	#FFFF33
ARG0198	3a	#FFFF33
ARG0199	3a	#FFFF33
ARG0200	3a	#FFFF33
ARG0201	3a	#FF7F00
ARG0202	3a	#FFFF33
ARG0203	3a	#FFFF33
ARG0204	3a	#984EA3
ARG0205	3a	#FFFF33
ARG0206	3a	#FFFF33
ARG0207	3a	#984EA3
ARG0208	3a	#FF7F00
ARG0209	3a	#FF7F00
ARG0210	3a	#FFFF33
ARG0211	3a	#FFFF33
ARG0212	3a	#FF7F00
ARG0213	3a	#FFFF33
ARG0214	3a	#FFFF33
ARG0215	3a	#FFFF33
ARG0216	3a	#FF7F00
ARG0217	3a	#FFFF33
ARG0218	3a	#FF7F00
ARG0219	3a	#984EA3
ARG0220	3a	#FFFF33
ARG0221	3a	#FFFF33
ARG0222	3a	#FFFF33
ARG0223	3a	#FFFF33
ARG0224	3a	#FFFF33
ARG0225N	3a	#FFFF33
ARG0226N	3a	#FFFF33
ARG0227	3a	#FFFF33
ARG0228	3a	#FFFF33
ARG0229	3a	#FFFF33
ARG0230N	3a	#FFFF33
ARG0231	3a	#FFFF33
ARG0232	3a	#FFFF33
ARG0233	3a	#FFFF33
ARG0234	3a	#FFFF33
ARG0235	3a	#FFFF33
ARG0236	3a	#FFFF33
ARG0237	3a	#FFFF33
ARG0238	3a	#FFFF33
ARG0239	3a	#FFFF33
ARG0240	3a	#FFFF33
ARG0241	3a	#FFFF33
ARG0242	3a	#FFFF33
ARG0243	3a	#FFFF33
ARG0244	3a	#FFFF33
ARG0245	3a	#FFFF33
ARG0246	3a	#FFFF33
ARG0247	3a	#FFFF33
ARG0248	3a	#FFFF33
ARG0249	3a	#FFFF33
ARG0250	3a	#FFFF33
ARG0251	3a	#FFFF33
ARG0252	3a	#FFFF33
ARG0253	3a	#FFFF33
ARG0254	3a	#FFFF33
ARG0255	3a	#FFFF33
ARG0256	3a	#FFFF33
ARG0257	3a	#FFFF33
ARG0258	3a	#FFFF33
ARG0259	3a	#FFFF33
