name	region	color
PET0448	5b	#E41A1C
PET0449	5b	#E41A1C
PET0450	5b	#E41A1C
PET0451	5b	#E41A1C
PET0452	5b	#E41A1C
PET0453N	5b	#4DAF4A
PET0454N	5b	#E41A1C
PET0455	5b	#377EB8
PET0456	5b	#E41A1C
PET0457	5b	#E41A1C
PET0458	5b	#E41A1C
PET0459N	5b	#E41A1C
PET0460N	5b	#E41A1C
PET0461	5b	#4DAF4A
PET0462	5b	#377EB8
PET0463	5b	#E41A1C
PET0464	5b	#E41A1C
PET0465	5b	#377EB8
PET0466	5b	#E41A1C
PET0467	5b	#E41A1C
PET0468	5b	#E41A1C
PET0469	5b	#377EB8
PET0470	5b	#E41A1C
PET0471	5b	#E41A1C
PET0472	5b	#E41A1C
PET0473N	5b	#E41A1C
PET0474N	5b	#E41A1C
PET0475	5b	#377EB8
PET0476	5b	#377EB8
PET0477	5b	#E41A1C
PET0478	5b	#377EB8
PET0479	5b	#377EB8
PET0480	5b	#E41A1C
PET0481	5b	#E41A1C
PET0482	5b	#E41A1C
PET0483	5b	#E41A1C
PET0484	5b	#E41A1C
PET0485	5b	#E41A1C
PET0486	5b	#E41A1C
PET0487	5b	#E41A1C
PET0488	5b	#E41A1C
PET0489	5b	#377EB8
PET0490	5b	#E41A1C
PET0491	5b	#377EB8
PET0492	5b	#377EB8
PET0493	5b	#377EB8
PET0494	5b	#E41A1C
PET0495	5b	#E41A1C
PET0496	5b	#E41A1C
PET0497	5b	#E41A1C
PET0498	5b	#377EB8
PET0499	5b	#377EB8
PET0500	5b	#377EB8
PET0501	5b	#377EB8
PET0502	5b	#377EB8
PET0503	5b	#E41A1C
PET0504	5b	#E41A1C
PET0505	5b	#E41A1C
PET0506	5b	#377EB8
PET0507	5b	#4DAF4A
PET0508	5b	#377EB8
PET0509	5b	#E41A1C
PET0510	5b	#377EB8
PET0511	5b	#4DAF4A
PET0512	5b	#377EB8
PET0513	5b	#E41A1C
PET0514	5b	#377EB8
PET0515	5b	#377EB8
PET0516	5b	#E41A1C
PET0517	5b	#E41A1C
PET0518	5b	#E41A1C
PET0519	5b	#E41A1C
PET0520	5b	#E41A1C
PET0521	5b	#4DAF4A
PET0522	5b	#4DAF4A
PET0523	5b	#4DAF4A
PET0524	5b	#4DAF4A
PET0526	5b	#E41A1C
PET0527	5b	#377EB8
PET0528	5b	#377EB8
PET0529	5b	#E41A1C
PET0530	5b	#377EB8
PET0531	5b	#4DAF4A
PET0532	5b	#E41A1C
PET0534N	5b	#E41A1C
PET0535	5b	#377EB8
PET0536	5b	#4DAF4A
PET0537	5b	#377EB8
PET0539	5b	#377EB8
PET0540	5b	#377EB8
PET0541N	5b	#377EB8
PET0542N	5b	#377EB8
PET0543	5b	#4DAF4A
PET0544	5b	#E41A1C
PET0545	5b	#E41A1C
PET0546	5b	#E41A1C
PET0547	5b	#377EB8
PET0548	5b	#377EB8
PET0549	5b	#4DAF4A
PET0550	5b	#4DAF4A
PET0552	5b	#4DAF4A
PET0553	5b	#4DAF4A
PET0554	5b	#4DAF4A
PET0555	5b	#E41A1C
PET0556	5b	#4DAF4A
PET0557	5b	#377EB8
PET0558	5b	#4DAF4A
PET0559	5b	#4DAF4A
PET0560	5b	#4DAF4A
PET0561	5b	#4DAF4A
PET0562	5b	#4DAF4A
PET0563	5b	#377EB8
PET0564	5b	#4DAF4A
PET0565	5b	#4DAF4A
PET0566	5b	#4DAF4A
PET0568	5b	#4DAF4A
PET0569N	5b	#377EB8
PET0570	5b	#377EB8
PET0571	5b	#4DAF4A
PET0572	5b	#4DAF4A
PET0573	5b	#4DAF4A
PET0574	5b	#377EB8
PET0575	5b	#377EB8
PET0576	5b	#377EB8
PET0578	5b	#377EB8
PET0579	5b	#4DAF4A
PET0580	5b	#377EB8
PET0581	5b	#4DAF4A
PET0582	5b	#377EB8
PET0583	5b	#377EB8
PET0584	5b	#4DAF4A
PET0586	5b	#4DAF4A
PET0587	5b	#4DAF4A
PET0588	5b	#377EB8
PET0589	5b	#377EB8
PET0590	5b	#E41A1C
PET0591	5b	#E41A1C
PET0592	5b	#4DAF4A
PET0593	5b	#377EB8
PET0595	5b	#377EB8
PET0596	5b	#377EB8
PET0597	5b	#4DAF4A
PET0598	5b	#377EB8
PET0599	5b	#4DAF4A
PET0600	5b	#377EB8
PET0602	5b	#E41A1C
PET0603	5b	#377EB8
PET0604	5b	#E41A1C
PET0605	5b	#377EB8
PET0606	5b	#377EB8
PET0607	5b	#377EB8
PET0431	6b	#E41A1C
PET0432	6b	#E41A1C
PET0433	6b	#E41A1C
PET0434	6b	#E41A1C
PET0435	6b	#E41A1C
PET0436	6b	#E41A1C
PET0437	6b	#E41A1C
PET0438	6b	#E41A1C
PET0439	6b	#E41A1C
PET0440	6b	#E41A1C
PET0441	6b	#E41A1C
PET0442	6b	#E41A1C
PET0443	6b	#E41A1C
PET0444	6b	#E41A1C
PET0445	6b	#E41A1C
PET0446	6b	#E41A1C
PET0447	6b	#E41A1C
PET0448	6b	#E41A1C
PET0449	6b	#E41A1C
PET0450	6b	#E41A1C
PET0451	6b	#E41A1C
PET0452	6b	#E41A1C
PET0453N	6b	#E41A1C
PET0454N	6b	#E41A1C
PET0455	6b	#E41A1C
PET0456	6b	#E41A1C
PET0457	6b	#E41A1C
PET0458	6b	#E41A1C
PET0459N	6b	#E41A1C
PET0460N	6b	#E41A1C
PET0461	6b	#E41A1C
PET0462	6b	#E41A1C
PET0463	6b	#E41A1C
PET0464	6b	#E41A1C
PET0465	6b	#E41A1C
PET0466	6b	#E41A1C
PET0467	6b	#E41A1C
PET0468	6b	#E41A1C
PET0469	6b	#E41A1C
PET0470	6b	#E41A1C
PET0471	6b	#E41A1C
PET0472	6b	#E41A1C
PET0473N	6b	#E41A1C
PET0474N	6b	#E41A1C
PET0475	6b	#E41A1C
PET0476	6b	#E41A1C
PET0477	6b	#E41A1C
PET0478	6b	#E41A1C
PET0479	6b	#E41A1C
PET0480	6b	#E41A1C
PET0481	6b	#E41A1C
PET0482	6b	#E41A1C
PET0483	6b	#E41A1C
PET0484	6b	#E41A1C
PET0485	6b	#E41A1C
PET0486	6b	#E41A1C
PET0487	6b	#E41A1C
PET0488	6b	#E41A1C
PET0489	6b	#E41A1C
PET0490	6b	#E41A1C
PET0491	6b	#377EB8
PET0492	6b	#377EB8
PET0493	6b	#377EB8
PET0494	6b	#377EB8
PET0495	6b	#E41A1C
PET0496	6b	#4DAF4A
PET0497	6b	#E41A1C
PET0498	6b	#E41A1C
PET0499	6b	#377EB8
PET0500	6b	#377EB8
PET0501	6b	#E41A1C
PET0502	6b	#E41A1C
PET0503	6b	#E41A1C
PET0504	6b	#E41A1C
PET0505	6b	#E41A1C
PET0506	6b	#E41A1C
PET0507	6b	#E41A1C
PET0508	6b	#E41A1C
PET0509	6b	#377EB8
PET0510	6b	#377EB8
PET0511	6b	#E41A1C
PET0512	6b	#E41A1C
PET0513	6b	#377EB8
PET0514	6b	#E41A1C
PET0515	6b	#4DAF4A
PET0516	6b	#E41A1C
PET0517	6b	#E41A1C
PET0518	6b	#E41A1C
PET0519	6b	#377EB8
PET0520	6b	#377EB8
PET0521	6b	#E41A1C
PET0522	6b	#E41A1C
PET0523	6b	#377EB8
PET0524	6b	#E41A1C
PET0526	6b	#377EB8
PET0527	6b	#377EB8
PET0528	6b	#E41A1C
PET0529	6b	#E41A1C
PET0530	6b	#377EB8
PET0531	6b	#377EB8
PET0532	6b	#E41A1C
PET0534N	6b	#E41A1C
PET0535	6b	#E41A1C
PET0536	6b	#377EB8
PET0537	6b	#377EB8
PET0539	6b	#E41A1C
PET0540	6b	#E41A1C
PET0541N	6b	#E41A1C
PET0542N	6b	#E41A1C
PET0543	6b	#E41A1C
PET0544	6b	#E41A1C
PET0545	6b	#377EB8
PET0546	6b	#E41A1C
PET0547	6b	#E41A1C
PET0548	6b	#E41A1C
PET0549	6b	#377EB8
PET0550	6b	#E41A1C
PET0552	6b	#E41A1C
PET0553	6b	#E41A1C
PET0554	6b	#E41A1C
PET0555	6b	#4DAF4A
PET0556	6b	#377EB8
PET0557	6b	#E41A1C
PET0558	6b	#4DAF4A
PET0559	6b	#E41A1C
PET0560	6b	#E41A1C
PET0561	6b	#E41A1C
PET0562	6b	#E41A1C
PET0563	6b	#E41A1C
PET0564	6b	#377EB8
PET0565	6b	#E41A1C
PET0566	6b	#377EB8
PET0568	6b	#E41A1C
PET0569N	6b	#E41A1C
PET0570	6b	#E41A1C
PET0571	6b	#377EB8
PET0572	6b	#377EB8
PET0573	6b	#E41A1C
PET0574	6b	#377EB8
PET0575	6b	#E41A1C
PET0576	6b	#E41A1C
PET0578	6b	#E41A1C
PET0579	6b	#E41A1C
PET0580	6b	#E41A1C
PET0581	6b	#E41A1C
PET0582	6b	#E41A1C
