INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN1494	ANN_70	76	19.11883425
ANN1495	ANN_70	76	16.75121357
ANN1496	ANN_70	90	14.61543329
ANN1497	ANN_70	75	16.00356819
ANN1498	ANN_70	75	14.48607031
ANN1499	ANN_70	74	15.53688126
ANN1500	ANN_70	71	16.68648817
ANN1501	ANN_71	43	19.38691546
ANN1502	ANN_71	43	24.51653434
ANN1503	ANN_71	38	21.60984328
ANN1504	ANN_71	43	17.91435641
ANN1505	ANN_71	38	21.46860538
ANN1506	ANN_71	41	23.36598506
ANN1507	ANN_71	43	44.88314225
ANN1508	ANN_71	44	27.45670048
ANN1509	ANN_71	39	44.03240675
ANN1510	ANN_71	38	29.42370474
