INDIVIDUAL	POPULATION_NAt	DTF	SLA
ANN0960	ANN_16	50	20.39601667
ANN0961	ANN_17	54	17.75768673
ANN0962	ANN_17	63	23.54319173
ANN0963	ANN_17	64	27.9275653
ANN0964	ANN_17	68	25.52146052
ANN0965	ANN_17	59	24.04565866
ANN0966	ANN_17	47	19.3016275
ANN0967	ANN_17	68	19.75341851
ANN0968	ANN_17	55	35.32012817
ANN0969	ANN_17	50	24.76955805
ANN0970	ANN_17	50	24.49331919
ANN0971	ANN_18	62	25.79931958
ANN0972	ANN_18	54	15.79310985
ANN0973	ANN_18	58	17.19294797
ANN0974	ANN_18	NA	NA
ANN0975	ANN_18	68	22.30843881
ANN0976	ANN_18	61	14.60184915
ANN0977	ANN_18	73	11.72527172
ANN0978	ANN_18	80	13.0664324
ANN0979	ANN_18	56	19.06761735
ANN0980	ANN_18	91	11.70170678
ANN0981	ANN_19	53	25.76132206
ANN0982	ANN_19	44	40.11801695
ANN0983	ANN_19	63	19.10354394
ANN0984	ANN_19	52	20.44660921
ANN0985	ANN_19	79	NA
ANN0986	ANN_19	64	24.67381634
ANN0987	ANN_19	51	18.28953193
ANN0988	ANN_19	57	16.03269001
ANN0989	ANN_19	53	17.96762134
ANN0990	ANN_19	58	16.43191052
ANN0991	ANN_20	54	23.23301875
ANN0992	ANN_20	48	14.07698749
ANN0993	ANN_20	61	14.97338859
ANN0994	ANN_20	58	22.97602455
ANN0995	ANN_20	49	25.53991139
ANN0996	ANN_20	51	20.5225603
ANN0997	ANN_20	43	17.90638575
ANN0998	ANN_20	49	17.86987727
ANN0999	ANN_20	63	18.0137966
ANN1000	ANN_20	44	45.31997175
ANN1001	ANN_21	51	20.49233582
ANN1002	ANN_21	55	21.33896296
ANN1003	ANN_21	58	24.90237036
ANN1004	ANN_21	58	31.55387182
ANN1005	ANN_21	43	35.48203645
ANN1006	ANN_21	68	53.02962981
ANN1007	ANN_21	53	22.81937119
ANN1008	ANN_21	56	27.51070374
ANN1009	ANN_21	47	25.80739838
ANN1010	ANN_21	51	22.77957452
ANN1011	ANN_22	50	23.17203352
ANN1012	ANN_22	49	30.59324556
ANN1013	ANN_22	57	19.45631343
ANN1014	ANN_22	51	25.44558573
ANN1015	ANN_22	51	23.2669067
ANN1016	ANN_22	56	25.22718252
ANN1017	ANN_22	47	23.72416092
ANN1018	ANN_22	49	16.29754413
ANN1019	ANN_22	54	20.28995051
ANN1020	ANN_22	50	40.47021233
ANN1021	ANN_23	39	20.84084512
ANN1022	ANN_23	42	21.60410271
ANN1023	ANN_23	39	23.10493568
ANN1024	ANN_23	38	48.77467238
