name	population	counts	heterozygosity	fst_call
ARG0143	ARG_15	1	0	11
ARG0144	ARG_15	0.009345794392523364	0.018691588785046728	00
ARG0145	ARG_15	0.5213414634146342	0.4634146341463415	01
ARG0146	ARG_15	0.006172839506172839	0.012345679012345678	00
ARG0147	ARG_15	0.6181818181818182	0.5454545454545454	01
ARG0148	ARG_15	0.006153846153846154	0.012307692307692308	00
ARG0149	ARG_15	0.6	0.6030769230769231	01
ARG0150	ARG_15	0.006211180124223602	0.012422360248447204	00
ARG0151	ARG_16	0.003484320557491289	0.006968641114982578	00
ARG0152	ARG_16	0.0017301038062283738	0.0034602076124567475	00
ARG0153	ARG_16	0.00303951367781155	0.0060790273556231	00
ARG0154	ARG_16	0.004746835443037975	0.00949367088607595	00
ARG0155	ARG_16	0.5787037037037037	0.6080246913580247	01
ARG0156	ARG_16	0.03431372549019608	0.05555555555555555	00
ARG0157	ARG_16	0.008223684210526315	0.003289473684210526	00
ARG0158	ARG_16	0.0015723270440251573	0.0031446540880503146	00
ARG0159	ARG_16	0.0015384615384615385	0.003076923076923077	00
ARG0160	ARG_16	0.006430868167202572	0.012861736334405145	00
ARG0161	ARG_17	0.972972972972973	0.05405405405405406	11
ARG0162	ARG_17	0.014018691588785047	0.028037383177570093	00
ARG0163	ARG_17	0.0015723270440251573	0.0031446540880503146	00
ARG0164	ARG_17	0.5820433436532507	0.7058823529411765	01
ARG0166	ARG_17	0.974320241691843	0.0513595166163142	11
ARG0167	ARG_17	0.004761904761904762	0.0031746031746031746	00
ARG0168	ARG_17	0.015822784810126583	0.012658227848101266	00
ARG0169	ARG_17	0.006024096385542169	0.012048192771084338	00
ARG0170	ARG_17	0.009554140127388535	0.01910828025477707	00
ARG0171	ARG_18	1	0	11
ARG0172	ARG_18	1	0	11
ARG0173	ARG_18	0.6447368421052632	0.5394736842105263	01
ARG0174	ARG_18	0.6064516129032258	0.567741935483871	01
ARG0175	ARG_18	0.6318327974276527	0.6077170418006431	01
ARG0176	ARG_18	0.6381578947368421	0.5921052631578947	01
ARG0177	ARG_18	1	0	11
ARG0178	ARG_18	0.5838926174496645	0.6040268456375839	01
ARG0179	ARG_18	0.6166134185303515	0.5878594249201278	01
ARG0180	ARG_18	1	0	11
ARG0181	ARG_19	0.5780254777070064	0.6910828025477707	01
ARG0182	ARG_19	0.0016286644951140066	0.003257328990228013	00
ARG0183	ARG_19	0.011666666666666667	0.016666666666666666	00
ARG0184	ARG_19	0.5983333333333334	0.65	01
ARG0185	ARG_19	0.024844720496894408	0.049689440993788817	00
ARG0186	ARG_19	0.6290322580645161	0.6838709677419355	01
ARG0187	ARG_19	0.06037151702786378	0.11455108359133127	00
ARG0188	ARG_19	1	0	11
ARG0189	ARG_19	0.0061162079510703364	0.012232415902140673	00
ARG0190	ARG_19	0.003205128205128205	0.00641025641025641	00
ARG0191	ARG_20	0.004934210526315789	0.009868421052631578	00
ARG0192	ARG_20	0.001607717041800643	0.003215434083601286	00
ARG0194	ARG_20	0.00487012987012987	0.00974025974025974	00
ARG0195	ARG_20	0.008143322475570033	0.016286644951140065	00
ARG0196	ARG_20	0	0	00
ARG0197	ARG_20	0.5785256410256411	0.7083333333333334	01
ARG0198	ARG_20	0.003115264797507788	0	00
ARG0199	ARG_20	0.015625	0.025	00
ARG0200	ARG_20	0.004615384615384616	0.009230769230769232	00
ARG0201	ARG_21	0.006622516556291391	0.013245033112582781	00
ARG0202	ARG_21	0.014240506329113924	0.015822784810126583	00
ARG0203	ARG_21	0.0140625	0.021875	00
ARG0204	ARG_21	0.0014970059880239522	0.0029940119760479044	00
ARG0205	ARG_21	0.023026315789473683	0.046052631578947366	00
ARG0206	ARG_21	0.0016025641025641025	0.003205128205128205	00
ARG0207	ARG_21	0.006514657980456026	0.013029315960912053	00
ARG0208	ARG_21	0.009404388714733543	0.018808777429467086	00
ARG0209	ARG_21	0.001567398119122257	0.003134796238244514	00
ARG0210	ARG_21	0.009900990099009901	0.019801980198019802	00
ARG0211	ARG_22	0	0	00
ARG0212	ARG_22	0.009404388714733543	0.018808777429467086	00
ARG0213	ARG_22	0.010714285714285714	0.014285714285714285	00
ARG0214	ARG_22	0.018292682926829267	0.024390243902439025	00
ARG0215	ARG_22	0.006269592476489028	0.012539184952978056	00
ARG0216	ARG_22	0.010169491525423728	0.020338983050847456	00
ARG0217	ARG_22	0.003105590062111801	0.006211180124223602	00
ARG0218	ARG_22	0.014195583596214511	0.028391167192429023	00
ARG0219	ARG_22	0.00303951367781155	0.0060790273556231	00
ARG0220	ARG_22	0.0015479876160990713	0.0030959752321981426	00
ARG0221	ARG_23	0.011437908496732025	0.02287581699346405	00
ARG0222	ARG_23	0.013846153846153847	0.021538461538461538	00
ARG0223	ARG_23	0.014150943396226415	0.02830188679245283	00
ARG0224	ARG_23	0.0049833887043189366	0.0033222591362126247	00
ARG0227	ARG_23	0.004601226993865031	0.009202453987730062	00
ARG0228	ARG_23	0.013975155279503106	0.015527950310559006	00
ARG0229	ARG_23	0.020569620253164556	0.04113924050632911	00
ARG0231	ARG_24	0.00847457627118644	0.01694915254237288	00
ARG0232	ARG_24	0.010869565217391304	0.021739130434782608	00
ARG0233	ARG_24	0	0	00
ARG0234	ARG_24	0.02145214521452145	0.0297029702970297	00
ARG0235	ARG_24	0.006211180124223602	0.012422360248447204	00
ARG0236	ARG_24	0.001557632398753894	0.003115264797507788	00
ARG0237	ARG_24	0.0015723270440251573	0.0031446540880503146	00
ARG0238	ARG_24	0.00482315112540193	0.00964630225080386	00
ARG0239	ARG_24	0.003134796238244514	0.006269592476489028	00
ARG0240	ARG_24	0.00487012987012987	0.003246753246753247	00
ARG0241	ARG_25	0.0030959752321981426	0.006191950464396285	00
ARG0242	ARG_25	0.01238390092879257	0.02476780185758514	00
ARG0243	ARG_25	0.06478405315614617	0.12956810631229235	00
ARG0244	ARG_25	0.007936507936507936	0.009523809523809525	00
ARG0245	ARG_25	0.0033444816053511705	0.006688963210702341	00
ARG0246	ARG_25	0.006153846153846154	0.012307692307692308	00
ARG0247	ARG_25	0.004629629629629629	0.0030864197530864196	00
ARG0248	ARG_25	0.005154639175257732	0.003436426116838488	00
ARG0249	ARG_25	0.008169934640522876	0.016339869281045753	00
ARG0250	ARG_25	0.011254019292604502	0.01607717041800643	00
ARG0251	ARG_26	0.004573170731707317	0.009146341463414634	00
ARG0252	ARG_26	0.04574132492113565	0.08517350157728706	00
ARG0253	ARG_26	0.006369426751592357	0	00
ARG0254	ARG_26	0.0016666666666666668	0.0033333333333333335	00
ARG0255	ARG_26	0.012618296529968454	0.025236593059936908	00
ARG0256	ARG_26	0.012422360248447204	0.012422360248447204	00
ARG0257	ARG_26	0.0088339222614841	0.01060070671378092	00
ARG0258	ARG_26	0.30258899676375406	0.5210355987055016	01
ARG0259	ARG_26	0.00303951367781155	0.0060790273556231	00
ARG0260	ARG_26	0.01597444089456869	0.03194888178913738	00
ARG0261	ARG_27	0.006389776357827476	0.006389776357827476	00
ARG0262	ARG_27	0.001694915254237288	0.003389830508474576	00
ARG0263	ARG_27	0.00482315112540193	0.00964630225080386	00
ARG0264	ARG_27	0.009202453987730062	0.018404907975460124	00
ARG0265	ARG_27	0.01155115511551155	0.0231023102310231	00
ARG0268	ARG_27	0.001597444089456869	0.003194888178913738	00
ARG0269	ARG_27	0	0	00
ARG0270	ARG_27	0.0016666666666666668	0.0033333333333333335	00
ARG0271	ARG_28	0.017741935483870968	0.035483870967741936	00
ARG0272	ARG_28	0.0031446540880503146	0	00
ARG0273	ARG_28	0.0030959752321981426	0.006191950464396285	00
ARG0274	ARG_28	0.0015384615384615385	0.003076923076923077	00
ARG0275	ARG_28	0.003115264797507788	0.006230529595015576	00
ARG0276	ARG_28	0.009433962264150943	0.012578616352201259	00
ARG0279	ARG_28	0.0110062893081761	0.0220125786163522	00
ARG0280	ARG_28	0.008928571428571428	0.010714285714285714	00
ARG0281	ARG_29	0.004807692307692308	0.009615384615384616	00
ARG0282	ARG_29	0.003134796238244514	0.006269592476489028	00
ARG0283	ARG_29	0.02050473186119874	0.04100946372239748	00
ARG0284	ARG_29	0.021341463414634148	0.042682926829268296	00
ARG0285	ARG_29	0.005016722408026756	0.0033444816053511705	00
ARG0286	ARG_29	0.010835913312693499	0.021671826625386997	00
ARG0287	ARG_29	0.0033783783783783786	0.006756756756756757	00
ARG0288	ARG_29	0.008680555555555556	0.017361111111111112	00
ARG0289	ARG_29	0.0015479876160990713	0.0030959752321981426	00
ARG0290	ARG_29	0.0109375	0.009375	00
ARG0291	ARG_30	0.02702702702702703	0.05405405405405406	00
ARG0292	ARG_30	0.0078125	0.009375	00
ARG0293	ARG_30	0.004629629629629629	0.009259259259259259	00
ARG0294	ARG_30	0.015337423312883436	0.03067484662576687	00
ARG0295	ARG_30	0	0	00
ARG0296	ARG_30	0.0046439628482972135	0.009287925696594427	00
ARG0297	ARG_30	0.010869565217391304	0.021739130434782608	00
ARG0299	ARG_30	0.010835913312693499	0.021671826625386997	00
ARG0300	ARG_30	0.6359223300970874	0.6763754045307443	01
